 time            v(vop)         
 2.60500000e-08  2.41914521e-01 
 2.80500000e-08  4.26254447e-01 
 3.00500000e-08  4.98367263e-01 
 3.20500000e-08  3.94150428e-01 
 3.40500000e-08  2.06239259e-01 
 3.60500000e-08  1.01654472e-01 
 3.80500000e-08  1.73373905e-01 
 4.00500000e-08  3.57625022e-01 
 4.20500000e-08  4.90656638e-01 
 4.40500000e-08  4.54204985e-01 
 4.60500000e-08  2.80688060e-01 
 4.80500000e-08  1.24310597e-01 
 5.00500000e-08  1.24095815e-01 
 5.20500000e-08  2.80224093e-01 
 5.40500000e-08  4.53918433e-01 
 5.60500000e-08  4.90785950e-01 
 5.80500000e-08  3.58069908e-01 
 6.00500000e-08  1.73724747e-01 
 6.20500000e-08  1.01609641e-01 
 6.40500000e-08  2.05824755e-01 
 6.60500000e-08  3.93749673e-01 
 6.80500000e-08  4.98322447e-01 
 7.00500000e-08  4.26602160e-01 
 7.20500000e-08  2.42350502e-01 
 7.40500000e-08  1.09322774e-01 
 7.60500000e-08  1.45770071e-01 
