 time             v(vi)            v(vc)           
 2.110000000e-08  1.006698075e-01  1.005395909e-01 
 2.310000000e-08  4.946696822e-01  4.938021324e-01 
 2.510000000e-08  1.278417493e-01  1.293675569e-01 
 2.710000000e-08  4.338670237e-01  4.314068462e-01 
 2.910000000e-08  2.167248685e-01  2.195089337e-01 
 3.110000000e-08  3.250708041e-01  3.220441348e-01 
 3.310000000e-08  3.354538149e-01  3.385999224e-01 
 3.510000000e-08  2.072817878e-01  2.047682228e-01 
 3.710000000e-08  4.414714875e-01  4.437752878e-01 
 3.910000000e-08  1.227321110e-01  1.215113041e-01 
 4.110000000e-08  4.967803566e-01  4.972728436e-01 
 4.310000000e-08  1.017353049e-01  1.021710550e-01 
 4.510000000e-08  4.815548334e-01  4.800677643e-01 
 4.710000000e-08  1.518132372e-01  1.538276197e-01 
 4.910000000e-08  4.012457581e-01  3.984697853e-01 
 5.110000000e-08  2.550073492e-01  2.580343085e-01 
 5.310000000e-08  2.846358665e-01  2.816705137e-01 
 5.510000000e-08  3.743246902e-01  3.773261492e-01 
 5.710000000e-08  1.735302322e-01  1.713807172e-01 
 5.910000000e-08  4.669989805e-01  4.687756088e-01 
 6.110000000e-08  1.077654928e-01  1.070777079e-01 
 6.310000000e-08  4.998149639e-01  4.996186788e-01 
 6.510000000e-08  1.109180477e-01  1.119115769e-01 
 6.710000000e-08  4.610069951e-01  4.589815141e-01 
 6.910000000e-08  1.818508970e-01  1.842911533e-01 
 7.110000000e-08  3.644785976e-01  3.615134753e-01 
 1.100000000e-09  4.991605096e-01  4.993433300e-01 
 3.100000000e-09  1.001540877e-01  1.002972511e-01 
 5.100000000e-09  4.984631497e-01  4.979138786e-01 
 7.100000000e-09  1.049439086e-01  1.056923438e-01 
 9.100000000e-09  4.896412573e-01  4.883950607e-01 
 1.110000000e-08  1.177195112e-01  1.190552541e-01 
 1.310000000e-08  4.730555305e-01  4.711822197e-01 
 1.510000000e-08  1.379574596e-01  1.398434615e-01 
 1.710000000e-08  4.493845871e-01  4.469823649e-01 
 1.910000000e-08  1.648289237e-01  1.672082550e-01 
 2.110000000e-08  4.195971626e-01  4.167851500e-01 
 2.310000000e-08  1.972335589e-01  2.000287731e-01 
 2.510000000e-08  3.849124979e-01  3.818226884e-01 
 2.710000000e-08  2.338446343e-01  2.369579075e-01 
 2.910000000e-08  3.467505282e-01  3.435201022e-01 
 3.110000000e-08  2.731633055e-01  2.764777149e-01 
 3.310000000e-08  3.066736532e-01  3.034381136e-01 
 3.510000000e-08  3.135799891e-01  3.169624576e-01 
 3.710000000e-08  2.663228934e-01  2.632105535e-01 
 3.910000000e-08  3.534402355e-01  3.567463948e-01 
 4.110000000e-08  2.273505606e-01  2.244783346e-01 
 4.310000000e-08  3.911124714e-01  3.941935289e-01 
 4.510000000e-08  1.913525781e-01  1.888231115e-01 
 4.710000000e-08  4.250547208e-01  4.277659121e-01 
 4.910000000e-08  1.598031450e-01  1.577031145e-01 
 5.110000000e-08  4.538777377e-01  4.560877563e-01 
 5.310000000e-08  1.339941873e-01  1.323933801e-01 
 5.510000000e-08  4.764017633e-01  4.780019795e-01 
 5.710000000e-08  1.149825199e-01  1.139335286e-01 
 5.910000000e-08  4.917048283e-01  4.926172771e-01 
 6.110000000e-08  1.035464826e-01  1.030846106e-01 
 6.310000000e-08  4.991604200e-01  4.993434179e-01 
 6.510000000e-08  1.001540875e-01  1.002972513e-01 
 6.710000000e-08  4.984631463e-01  4.979138739e-01 
 6.910000000e-08  1.049439111e-01  1.056923426e-01 
 7.110000000e-08  4.896412583e-01  4.883950595e-01 
