 time             v(vi)            v(vc)           
 3.100000000e-09  4.899153152e-01  4.895933837e-01 
 5.100000000e-09  4.762728907e-01  4.767397977e-01 
 7.100000000e-09  3.529788265e-01  3.538733723e-01 
 9.100000000e-09  1.967288985e-01  1.974473220e-01 
 1.110000000e-08  1.047184584e-01  1.048924726e-01 
 1.310000000e-08  1.341855411e-01  1.337529100e-01 
 1.510000000e-08  2.668024519e-01  2.659689560e-01 
 1.710000000e-08  4.200702782e-01  4.193120041e-01 
 1.910000000e-08  4.986443357e-01  4.985181113e-01 
 2.110000000e-08  4.536487627e-01  4.542772467e-01 
 2.310000000e-08  3.130752659e-01  3.139778987e-01 
 2.510000000e-08  1.643678598e-01  1.649717642e-01 
 2.710000000e-08  1.000305147e-01  1.000481010e-01 
 2.910000000e-08  1.600878547e-01  1.595250085e-01 
 3.110000000e-08  3.071819247e-01  3.063131872e-01 
 3.310000000e-08  4.498073295e-01  4.491619500e-01 
 3.510000000e-08  4.992408616e-01  4.993192702e-01 
 3.710000000e-08  4.247343761e-01  4.254909943e-01 
 3.910000000e-08  2.726363877e-01  2.735094070e-01 
 4.110000000e-08  1.375594443e-01  1.380311379e-01 
 4.310000000e-08  1.035293783e-01  1.033910433e-01 
 4.510000000e-08  1.917183669e-01  1.910422978e-01 
 4.710000000e-08  3.472672799e-01  3.463976458e-01 
 4.910000000e-08  4.734111062e-01  4.729132086e-01 
 5.110000000e-08  4.916805266e-01  4.919605806e-01 
 5.310000000e-08  3.907134694e-01  3.915595177e-01 
 5.510000000e-08  2.333177118e-01  2.341276365e-01 
 5.710000000e-08  1.174012024e-01  1.177280373e-01 
 5.910000000e-08  1.150718851e-01  1.147821381e-01 
 6.110000000e-08  2.277820732e-01  2.270142679e-01 
 6.310000000e-08  3.854173638e-01  3.845840929e-01 
 6.510000000e-08  4.899153153e-01  4.895933841e-01 
 6.710000000e-08  4.762728907e-01  4.767397977e-01 
 6.910000000e-08  3.529788273e-01  3.538733733e-01 
 7.110000000e-08  1.967288974e-01  1.974473210e-01 
 1.100000000e-09  4.048051111e-01  4.038227063e-01 
 3.100000000e-09  4.999815603e-01  4.999597458e-01 
 5.100000000e-09  4.067623386e-01  4.077752960e-01 
 7.100000000e-09  2.129674252e-01  2.139266266e-01 
 9.100000000e-09  1.011602441e-01  1.012738293e-01 
 1.110000000e-08  1.766746725e-01  1.758930713e-01 
 1.310000000e-08  3.683734601e-01  3.673093643e-01 
 1.510000000e-08  4.956561121e-01  4.953829839e-01 
 1.710000000e-08  4.386166617e-01  4.394936534e-01 
 1.910000000e-08  2.509931808e-01  2.520512064e-01 
 2.110000000e-08  1.095352030e-01  1.098436042e-01 
 2.310000000e-08  1.475075141e-01  1.468773761e-01 
