 time             v(vip)           v(vop)           v(von)          
 2.390000000e-08  8.496405472e-01  7.995761103e-01  3.996942770e-01 
 2.590000000e-08  8.999384083e-01  8.914116760e-01  3.080435729e-01 
 2.790000000e-08  8.427166983e-01  8.792553794e-01  3.212977019e-01 
 2.990000000e-08  6.984876200e-01  7.668062198e-01  4.343118081e-01 
 3.190000000e-08  5.189539636e-01  5.940100207e-01  6.063775636e-01 
 3.390000000e-08  3.684727750e-01  4.233611914e-01  7.760050182e-01 
 3.590000000e-08  3.009874400e-01  3.164762700e-01  8.828583530e-01 
 3.790000000e-08  3.406899044e-01  3.115342415e-01  8.888289251e-01 
 3.990000000e-08  4.733485283e-01  4.099144718e-01  7.912030092e-01 
 4.190000000e-08  6.514087087e-01  5.760986794e-01  6.244723963e-01 
 4.390000000e-08  8.110400199e-01  7.506409820e-01  4.488515827e-01 
 4.590000000e-08  8.950188033e-01  8.714273952e-01  3.278204701e-01 
 4.790000000e-08  8.732410868e-01  8.954375102e-01  3.047274841e-01 
 4.990000000e-08  7.535138599e-01  8.136210921e-01  3.874544853e-01 
 5.190000000e-08  5.787567791e-01  6.546829779e-01  5.460557152e-01 
 5.390000000e-08  4.116146836e-01  4.759073437e-01  7.237373145e-01 
 5.590000000e-08  3.120031675e-01  3.419845441e-01  8.572119800e-01 
 5.790000000e-08  3.156303813e-01  3.009480086e-01  8.990186223e-01 
 5.990000000e-08  4.211967288e-01  3.671662438e-01  8.338275139e-01 
 6.190000000e-08  5.908599302e-01  5.165627469e-01  6.843200637e-01 
 6.390000000e-08  7.637994868e-01  6.955692579e-01  5.042476033e-01 
 6.590000000e-08  8.780206931e-01  8.403873267e-01  3.587963919e-01 
 6.790000000e-08  8.925787012e-01  8.995331350e-01  3.002439519e-01 
 6.990000000e-08  8.022553719e-01  8.516167214e-01  3.492588707e-01 
 7.190000000e-08  6.394293034e-01  7.130865025e-01  4.879110776e-01 
 1.900000000e-09  8.088638178e-01  7.256142516e-01  4.729823240e-01 
 3.900000000e-09  8.999846863e-01  8.832768176e-01  3.158401774e-01 
 5.900000000e-09  8.044952008e-01  8.657357173e-01  3.350866408e-01 
 7.900000000e-09  5.817973512e-01  6.824622862e-01  5.187472119e-01 
 9.900000000e-09  3.704229295e-01  4.471000079e-01  7.523490969e-01 
 1.190000000e-08  3.018594516e-01  3.076379440e-01  8.916066242e-01 
 1.390000000e-08  4.187591674e-01  3.506297112e-01  8.503971395e-01 
 1.590000000e-08  6.484040471e-01  5.482469031e-01  6.527975648e-01 
 1.790000000e-08  8.479380063e-01  7.775556014e-01  4.217170155e-01 
 1.990000000e-08  8.932367919e-01  8.969804667e-01  3.024365033e-01 
 2.190000000e-08  7.561236416e-01  8.324894109e-01  3.687077913e-01 
 2.390000000e-08  5.218920947e-01  6.225397701e-01  5.783035636e-01 
 2.590000000e-08  3.362482396e-01  3.981715985e-01  8.009612513e-01 
 2.790000000e-08  3.146746101e-01  3.002954155e-01  8.993265913e-01 
 2.990000000e-08  4.705927069e-01  3.891592020e-01  8.121660346e-01 
 3.190000000e-08  7.070116937e-01  6.085597142e-01  5.920575759e-01 
 3.390000000e-08  8.768613973e-01  8.223082864e-01  3.767266123e-01 
 3.590000000e-08  8.744844086e-01  8.986166751e-01  3.012351011e-01 
 3.790000000e-08  7.013606604e-01  7.896432530e-01  4.117620306e-01 
 3.990000000e-08  4.651843800e-01  5.616583317e-01  6.387172711e-01 
 4.190000000e-08  3.128714092e-01  3.575824779e-01  8.414001500e-01 
 4.390000000e-08  3.391708917e-01  3.052442736e-01  8.948527009e-01 
 4.590000000e-08  5.277242518e-01  4.362806907e-01  7.651530670e-01 
 4.790000000e-08  7.612381753e-01  6.684714324e-01  5.316568528e-01 
 4.990000000e-08  8.944503130e-01  8.580264692e-01  3.409512934e-01 
 5.190000000e-08  8.444946426e-01  8.880714185e-01  3.122759257e-01 
 5.390000000e-08  6.424478520e-01  7.389453883e-01  4.624640451e-01 
 5.590000000e-08  4.139962516e-01  5.023632016e-01  6.975220309e-01 
 5.790000000e-08  3.012497543e-01  3.269922116e-01  8.720288084e-01 
 5.990000000e-08  3.743459348e-01  3.222590514e-01  8.783336573e-01 
 6.190000000e-08  5.878147065e-01  4.900411461e-01  7.112926128e-01 
 6.390000000e-08  8.088637500e-01  7.255771950e-01  4.740787157e-01 
 6.590000000e-08  8.999842155e-01  8.832573444e-01  3.158533667e-01 
 6.790000000e-08  8.044949354e-01  8.657365944e-01  3.350858987e-01 
 6.990000000e-08  5.817973504e-01  6.824570994e-01  5.187521815e-01 
 7.190000000e-08  3.704228403e-01  4.471021042e-01  7.523470062e-01 
 1.900000000e-09  8.462094029e-01  7.541991440e-01  4.441706510e-01 
 3.900000000e-09  8.756995136e-01  8.990864241e-01  3.003956366e-01 
 5.900000000e-09  6.454620530e-01  7.634195672e-01  4.382718529e-01 
 7.900000000e-09  3.723966948e-01  4.722848769e-01  7.274430247e-01 
 9.900000000e-09  3.137482332e-01  3.023123350e-01  8.969389272e-01 
 1.190000000e-08  5.247706228e-01  4.136419368e-01  7.879876779e-01 
 1.390000000e-08  8.066653101e-01  6.994841008e-01  5.005238591e-01 
 1.590000000e-08  8.938647009e-01  8.917780726e-01  3.072891157e-01 
 1.790000000e-08  7.042229534e-01  8.106090728e-01  3.909005352e-01 
 1.990000000e-08  4.163966439e-01  5.297560128e-01  6.705426666e-01 
 2.190000000e-08  3.015360715e-01  3.152796054e-01  8.836513820e-01 
 2.390000000e-08  4.678503146e-01  3.702906137e-01  8.310466860e-01 
 2.590000000e-08  7.586602412e-01  6.408552634e-01  5.597345560e-01 
 2.790000000e-08  8.999999377e-01  8.726256692e-01  3.262205620e-01 
 2.990000000e-08  7.587174418e-01  8.491011509e-01  3.520193455e-01 
 3.190000000e-08  4.679138750e-01  5.901019384e-01  6.107657397e-01 
 3.390000000e-08  3.015433496e-01  3.399801524e-01  8.588375006e-01 
 3.590000000e-08  4.163401204e-01  3.362979140e-01  8.645707935e-01 
 3.790000000e-08  7.041595121e-01  5.805343449e-01  6.205875431e-01 
 3.990000000e-08  8.938515725e-01  8.424087010e-01  3.564365111e-01 
 4.190000000e-08  8.067137538e-01  8.773279374e-01  3.232643535e-01 
 4.390000000e-08  5.248380994e-01  6.508553362e-01  5.504854025e-01 
 4.590000000e-08  3.137700174e-01  3.754115137e-01  8.235168103e-01 
 4.790000000e-08  3.723495102e-01  3.130647112e-01  8.872381158e-01 
 4.990000000e-08  6.453943807e-01  5.209540672e-01  6.805589098e-01 
 5.190000000e-08  8.756737535e-01  8.023495079e-01  3.967143970e-01 
 5.390000000e-08  8.462471658e-01  8.942039626e-01  3.058086429e-01 
 5.590000000e-08  5.848397802e-01  7.094216390e-01  4.922105854e-01 
 5.790000000e-08  3.377137297e-01  4.201279051e-01  7.791192730e-01 
 5.990000000e-08  3.376787961e-01  3.015715348e-01  8.981619450e-01 
 6.190000000e-08  5.847707499e-01  4.645658485e-01  7.371264560e-01 
 6.390000000e-08  8.462095116e-01  7.540690312e-01  4.454022201e-01 
 6.590000000e-08  8.756994646e-01  8.990761646e-01  3.004002853e-01 
 6.790000000e-08  6.454620529e-01  7.634145567e-01  4.382771706e-01 
 6.990000000e-08  3.723966980e-01  4.723001659e-01  7.274280526e-01 
 7.190000000e-08  3.137482291e-01  3.023129016e-01  8.969381867e-01 
 1.900000000e-09  8.744573446e-01  7.808883137e-01  4.172434266e-01 
 3.900000000e-09  8.089109136e-01  8.863504951e-01  3.139017422e-01 
 5.900000000e-09  4.706566484e-01  6.186027925e-01  5.827744795e-01 
 7.900000000e-09  3.012441334e-01  3.255060035e-01  8.732232742e-01 
 9.900000000e-09  5.218246103e-01  3.926730364e-01  8.089594658e-01 
 1.190000000e-08  8.444558621e-01  7.292960512e-01  4.705468195e-01 
 1.390000000e-08  8.479742774e-01  8.976708846e-01  3.019586020e-01 
 1.590000000e-08  5.277920475e-01  6.785820354e-01  5.231851255e-01 
 1.790000000e-08  3.018680649e-01  3.553417374e-01  8.434292149e-01 
 1.990000000e-08  4.651217444e-01  3.534675859e-01  8.477020298e-01 
 2.190000000e-08  8.044459194e-01  6.726315729e-01  5.278571433e-01 
 2.390000000e-08  8.768859574e-01  8.968758011e-01  3.022460389e-01 
 2.590000000e-08  5.878837297e-01  7.352419296e-01  4.666691963e-01 
 2.790000000e-08  3.146971876e-01  3.953081281e-01  8.037478980e-01 
 2.990000000e-08  4.139403876e-01  3.243097545e-01  8.762595996e-01 
 3.190000000e-08  7.560659213e-01  6.129738215e-01  5.881363585e-01 
 3.390000000e-08  8.944619857e-01  8.840232661e-01  3.147790544e-01 
 3.590000000e-08  6.484713299e-01  7.862343499e-01  4.155532749e-01 
 3.790000000e-08  3.392074700e-01  4.437563560e-01  7.557880490e-01 
 3.990000000e-08  3.703764765e-01  3.064214877e-01  8.935093001e-01 
 4.190000000e-08  7.012965592e-01  5.527475874e-01  6.488522632e-01 
 4.390000000e-08  8.999837671e-01  8.596456400e-01  3.390729434e-01 
 4.590000000e-08  7.070748249e-01  8.295176765e-01  3.719058921e-01 
 4.790000000e-08  3.743934047e-01  4.986715410e-01  7.014902603e-01 
 4.990000000e-08  3.362133856e-01  3.005605778e-01  8.987963443e-01 
 5.190000000e-08  6.423801442e-01  4.943974563e-01  7.074747954e-01 
 5.390000000e-08  8.932226606e-01  8.247316604e-01  3.741530232e-01 
 5.590000000e-08  7.612944590e-01  8.633333297e-01  3.375475533e-01 
 5.790000000e-08  4.188159026e-01  5.577923591e-01  6.430175087e-01 
 5.990000000e-08  3.128505047e-01  3.069993679e-01  8.919356089e-01 
 6.190000000e-08  5.817283495e-01  4.403042904e-01  7.615777556e-01 
 6.390000000e-08  8.744575348e-01  7.806901499e-01  4.185885350e-01 
 6.590000000e-08  8.089113625e-01  8.863460152e-01  3.139026519e-01 
 6.790000000e-08  4.706568514e-01  6.186037089e-01  5.827740419e-01 
 6.990000000e-08  3.012441336e-01  3.255041706e-01  8.732251719e-01 
 7.190000000e-08  5.218246103e-01  3.926731089e-01  8.089594042e-01 
 1.900000000e-09  8.925634813e-01  8.054391651e-01  3.924684482e-01 
 3.900000000e-09  7.099151492e-01  8.462319438e-01  3.549597513e-01 
 5.900000000e-09  3.407270243e-01  4.688247408e-01  7.311523460e-01 
 7.900000000e-09  4.115601562e-01  3.147850965e-01  8.854169727e-01 
 9.900000000e-09  8.022057894e-01  6.451934946e-01  5.558137688e-01 
 1.190000000e-08  8.496759940e-01  8.984978332e-01  3.007779351e-01 
 1.390000000e-08  4.734131423e-01  6.467938750e-01  5.550069363e-01 
 1.590000000e-08  3.119833413e-01  3.143328557e-01  8.843960886e-01 
 1.790000000e-08  6.393613174e-01  4.688096283e-01  7.332507444e-01 
 1.990000000e-08  8.999366153e-01  8.444438389e-01  3.543086492e-01 
 2.190000000e-08  6.514757217e-01  8.072349476e-01  3.944719777e-01 
 2.390000000e-08  3.156551955e-01  4.170918288e-01  7.822582497e-01 
 2.590000000e-08  4.624068046e-01  3.388482235e-01  8.620290228e-01 
 2.790000000e-08  8.426763649e-01  7.034721632e-01  4.968504315e-01 
 2.990000000e-08  8.110861580e-01  8.927805933e-01  3.070878792e-01 
 3.190000000e-08  4.212542622e-01  5.861328521e-01  6.151839183e-01 
 3.390000000e-08  3.347759431e-01  3.022378600e-01  8.968001780e-01 
 3.590000000e-08  6.984234607e-01  5.254294005e-01  6.765262172e-01 
 3.790000000e-08  8.950293022e-01  8.738164321e-01  3.248526846e-01 
 3.990000000e-08  5.909289791e-01  7.596609405e-01  4.423466856e-01 
 4.190000000e-08  3.022223372e-01  3.729651718e-01  8.259285563e-01 
 4.390000000e-08  5.188869435e-01  3.735551454e-01  8.279162539e-01 
 4.590000000e-08  8.732122713e-01  7.575143954e-01  4.421334748e-01 
 4.790000000e-08  7.638550993e-01  8.751346189e-01  3.254082177e-01 
 4.990000000e-08  3.764143201e-01  5.259612641e-01  6.747102799e-01 
 5.190000000e-08  3.684273692e-01  3.024028615e-01  8.971529694e-01 
 5.390000000e-08  7.534554895e-01  5.849917222e-01  6.165946121e-01 
 5.590000000e-08  8.780453344e-01  8.920832508e-01  3.067703582e-01 
 5.790000000e-08  5.307536336e-01  7.054413467e-01  4.966016927e-01 
 5.990000000e-08  3.009818209e-01  3.382302726e-01  8.604464788e-01 
 6.190000000e-08  5.786878206e-01  4.174846236e-01  7.844033042e-01 
 6.390000000e-08  8.925627969e-01  8.051467605e-01  3.939485385e-01 
 6.590000000e-08  7.099154112e-01  8.462430259e-01  3.549478927e-01 
 6.790000000e-08  3.407263138e-01  4.688144366e-01  7.311622302e-01 
 6.990000000e-08  4.115601564e-01  3.147851033e-01  8.854169777e-01 
 7.190000000e-08  8.022057887e-01  6.451938131e-01  5.558134404e-01 
 1.900000000e-09  8.998573222e-01  8.274966244e-01  3.702168368e-01 
 3.900000000e-09  5.939751114e-01  7.824877076e-01  4.194567656e-01 
 5.900000000e-09  3.007515897e-01  3.533197523e-01  8.454583569e-01 
 7.900000000e-09  6.363387335e-01  4.444190560e-01  7.576615730e-01 
 9.900000000e-09  8.955658264e-01  8.612524443e-01  3.374307130e-01 
 1.190000000e-08  5.337216957e-01  7.311740448e-01  4.709741626e-01 
 1.390000000e-08  3.111449642e-01  3.242583441e-01  8.744012947e-01 
 1.590000000e-08  6.955396541e-01  4.988191350e-01  7.033269693e-01 
 1.790000000e-08  8.791733125e-01  8.847561060e-01  3.139508429e-01 
 1.990000000e-08  4.761823540e-01  6.743922139e-01  5.276811774e-01 
 2.190000000e-08  3.333671316e-01  3.066017753e-01  8.922212638e-01 
 2.390000000e-08  7.508294242e-01  5.572968728e-01  6.446340063e-01 
 2.590000000e-08  8.513527704e-01  8.967140365e-01  3.022886934e-01 
 2.790000000e-08  4.237111192e-01  6.144350623e-01  5.872909107e-01 
 2.990000000e-08  3.665028790e-01  3.010534863e-01  8.981853956e-01 
 3.190000000e-08  7.999438929e-01  6.174209159e-01  5.840435844e-01 
 3.390000000e-08  8.132397296e-01  8.966187246e-01  3.029013067e-01 
 3.590000000e-08  3.784580718e-01  5.537942035e-01  6.473634463e-01 
 3.790000000e-08  4.091988609e-01  3.078167512e-01  8.920222250e-01 
 3.990000000e-08  8.408722087e-01  6.767636031e-01  5.240570243e-01 
 4.190000000e-08  7.663982959e-01  8.844592751e-01  3.157187108e-01 
 4.390000000e-08  3.422737666e-01  4.950064393e-01  7.054557613e-01 
 4.590000000e-08  4.597063152e-01  3.265473734e-01  8.739809620e-01 
 4.790000000e-08  8.719392808e-01  7.330289194e-01  4.670741262e-01 
 4.990000000e-08  7.127441966e-01  8.606953011e-01  3.401790345e-01 
 5.190000000e-08  3.166419499e-01  4.405287794e-01  7.592287220e-01 
 5.390000000e-08  5.159576508e-01  3.564650901e-01  8.447367543e-01 
 5.590000000e-08  8.918749553e-01  7.838299674e-01  4.156092016e-01 
 5.790000000e-08  6.544749170e-01  8.262603272e-01  3.752373640e-01 
 5.990000000e-08  3.026089432e-01  3.926128141e-01  8.065498892e-01 
 6.190000000e-08  5.756494515e-01  3.963101151e-01  8.054393305e-01 
 6.390000000e-08  8.998580569e-01  8.271498918e-01  3.717895202e-01 
 6.590000000e-08  5.939751034e-01  7.825049590e-01  4.194411966e-01 
 6.790000000e-08  3.007515967e-01  3.533263632e-01  8.454511284e-01 
 6.990000000e-08  6.363384951e-01  4.444198427e-01  7.576607980e-01 
 7.190000000e-08  8.955657866e-01  8.612500190e-01  3.374331063e-01 
 1.900000000e-09  8.960717754e-01  8.468318520e-01  3.507391909e-01 
 3.900000000e-09  4.789646909e-01  7.011149770e-01  5.010768210e-01 
 5.900000000e-09  3.646021025e-01  3.023987026e-01  8.966153774e-01 
 7.900000000e-09  8.390448102e-01  6.495300140e-01  5.517134247e-01 
 9.900000000e-09  7.155617157e-01  8.728044817e-01  3.277341759e-01 
 1.190000000e-08  3.030250667e-01  4.141293353e-01  7.853924104e-01 
 1.390000000e-08  6.333121011e-01  4.214342369e-01  7.805448194e-01 
 1.590000000e-08  8.802742215e-01  8.749789534e-01  3.237110573e-01 
 1.790000000e-08  4.261868405e-01  6.424491911e-01  5.595438430e-01 
 1.990000000e-08  4.068577498e-01  3.034571369e-01  8.960699592e-01 
 2.190000000e-08  8.706381785e-01  7.074484921e-01  4.931074240e-01 
 2.390000000e-08  6.574684114e-01  8.431954698e-01  3.580235421e-01 
 2.590000000e-08  3.005519702e-01  3.706473582e-01  8.283545824e-01 
 2.790000000e-08  6.926462407e-01  4.731418791e-01  7.290489123e-01 
 2.990000000e-08  8.530033041e-01  8.923482782e-01  3.064900482e-01 
 3.190000000e-08  3.805249057e-01  5.818941408e-01  6.196485589e-01 
 3.390000000e-08  4.570204177e-01  3.167060420e-01  8.834805252e-01 
 3.590000000e-08  8.911539586e-01  7.609576087e-01  4.388891541e-01 
 3.790000000e-08  5.970218433e-01  8.036069475e-01  3.981693507e-01 
 3.990000000e-08  3.103369888e-01  3.366877013e-01  8.620358357e-01 
 4.190000000e-08  7.481872718e-01  5.299600050e-01  6.721665646e-01 
 4.390000000e-08  8.153716282e-01  8.978586486e-01  3.013867437e-01 
 4.590000000e-08  3.438465503e-01  5.220224581e-01  6.788879393e-01 
 4.790000000e-08  5.130369576e-01  3.415562846e-01  8.593312923e-01 
 4.990000000e-08  8.997497857e-01  8.079233605e-01  3.913130720e-01 
 5.190000000e-08  5.366974128e-01  7.556070421e-01  4.465118396e-01 
 5.390000000e-08  3.319825361e-01  3.136169816e-01  8.851120284e-01 
 5.590000000e-08  7.976629946e-01  5.895538230e-01  6.122419067e-01 
 5.790000000e-08  7.689244294e-01  8.912628590e-01  3.085816911e-01 
 5.990000000e-08  3.176577785e-01  4.653091649e-01  7.348874450e-01 
 6.190000000e-08  5.726135962e-01  3.769595959e-01  8.245597428e-01 
 6.390000000e-08  8.960726808e-01  8.464486516e-01  3.523802023e-01 
 6.590000000e-08  4.789643371e-01  7.011452089e-01  5.010482056e-01 
 6.790000000e-08  3.646023805e-01  3.023992161e-01  8.966140652e-01 
 6.990000000e-08  8.390448482e-01  6.495128236e-01  5.517313816e-01 
 7.190000000e-08  7.155617157e-01  8.728043986e-01  3.277342338e-01 
 1.900000000e-09  8.813449856e-01  8.632162306e-01  3.342812187e-01 
 3.900000000e-09  3.826139330e-01  6.099284120e-01  5.918724750e-01 
 5.900000000e-09  5.101249976e-01  3.289785382e-01  8.716040673e-01 
 7.900000000e-09  8.965489720e-01  8.295293116e-01  3.695298722e-01 
 9.900000000e-09  4.286799002e-01  6.698986715e-01  5.322329390e-01 
 1.190000000e-08  4.543477910e-01  3.094098387e-01  8.904819442e-01 
 1.390000000e-08  8.996106307e-01  7.869324794e-01  4.126418009e-01 
 1.590000000e-08  4.817591932e-01  7.268751159e-01  4.753309194e-01 
 1.790000000e-08  4.045364614e-01  3.017744315e-01  8.975209859e-01 
 1.990000000e-08  8.904029454e-01  7.367401852e-01  4.634963399e-01 
 2.190000000e-08  5.396788266e-01  7.785474744e-01  4.234550751e-01 
 2.390000000e-08  3.627259609e-01  3.064225444e-01  8.924677993e-01 
 2.590000000e-08  8.693109259e-01  6.809732343e-01  5.199599318e-01 
 2.790000000e-08  6.000688814e-01  8.228368283e-01  3.787144934e-01 
