 time             v(vip)           v(vop)           v(von)          
 1.390000000e-08  6.634367258e-01  8.703999137e-01  3.302606836e-01 
 1.590000000e-08  3.293008422e-01  3.352509743e-01  8.635803063e-01 
 1.790000000e-08  8.679520644e-01  6.538679033e-01  5.473387454e-01 
 1.990000000e-08  5.426674098e-01  7.998394678e-01  4.020067463e-01 
 2.190000000e-08  4.022337355e-01  3.027712106e-01  8.963714217e-01 
 2.390000000e-08  8.994395451e-01  7.643599464e-01  4.355216332e-01 
 2.590000000e-08  4.311909452e-01  6.966332887e-01  5.055598601e-01 
 2.790000000e-08  5.072221624e-01  3.188343327e-01  8.814806349e-01 
 2.990000000e-08  8.823899783e-01  8.484056552e-01  3.505213351e-01 
 3.190000000e-08  3.470744758e-01  5.773987755e-01  6.241006934e-01 
 3.390000000e-08  6.272487794e-01  3.805239871e-01  8.210815810e-01 
 3.590000000e-08  8.195695014e-01  8.925613144e-01  3.064030951e-01 
 3.790000000e-08  3.039502958e-01  4.616558470e-01  7.385559997e-01 
 3.990000000e-08  7.428584712e-01  4.775524620e-01  7.246566417e-01 
 4.190000000e-08  7.211617461e-01  8.896909137e-01  3.102849732e-01 
 4.390000000e-08  3.088113718e-01  3.683928168e-01  8.306957907e-01 
 4.590000000e-08  8.353108571e-01  5.941110375e-01  6.076414380e-01 
 4.790000000e-08  6.031158891e-01  8.400502988e-01  3.612692615e-01 
 4.990000000e-08  3.608740819e-01  3.130771553e-01  8.857730892e-01 
 5.190000000e-08  8.896228271e-01  7.113853143e-01  4.891650668e-01 
 5.390000000e-08  4.845649447e-01  7.513777257e-01  4.507768792e-01 
 5.590000000e-08  4.516928849e-01  3.047247287e-01  8.949343539e-01 
 5.790000000e-08  8.969933982e-01  8.106428625e-01  3.886656570e-01 
 5.990000000e-08  3.847242351e-01  6.378219645e-01  5.641361507e-01 
 6.190000000e-08  5.665511169e-01  3.444590399e-01  8.565412927e-01 
 6.390000000e-08  8.562252592e-01  8.760806562e-01  3.227245596e-01 
 6.590000000e-08  3.197753774e-01  5.178434035e-01  6.830435324e-01 
 6.790000000e-08  6.868309631e-01  4.255058317e-01  7.765259782e-01 
 6.990000000e-08  7.739242736e-01  8.971668418e-01  3.022107841e-01 
 7.190000000e-08  3.002472195e-01  4.111080559e-01  7.884681799e-01 
 1.900000000e-09  8.216331546e-01  8.864393497e-01  3.111717974e-01 
 3.900000000e-09  3.001410934e-01  4.337205649e-01  7.660965000e-01 
 5.900000000e-09  8.334082707e-01  5.664421887e-01  6.354570498e-01 
 7.900000000e-09  5.456614943e-01  8.193139272e-01  3.823745460e-01 
 9.900000000e-09  4.490504607e-01  3.026872440e-01  8.967946433e-01 
 1.190000000e-08  8.834040250e-01  8.318374590e-01  3.672345007e-01 
 1.390000000e-08  3.208809202e-01  5.450993567e-01  6.560049584e-01 
 1.590000000e-08  7.401721819e-01  4.529659223e-01  7.492152976e-01 
 1.790000000e-08  6.664111719e-01  8.804640180e-01  3.199663324e-01 
 1.990000000e-08  3.590457393e-01  3.222395651e-01  8.766119898e-01 
 2.190000000e-08  8.992342545e-01  7.403989660e-01  4.597193487e-01 
 2.390000000e-08  3.868588408e-01  6.652417813e-01  5.368293838e-01 
 2.590000000e-08  6.242129015e-01  3.629445058e-01  8.384704957e-01 
 2.790000000e-08  7.763987839e-01  8.962243872e-01  3.030117486e-01 
 2.990000000e-08  3.080959374e-01  3.872867327e-01  8.119827617e-01 
 3.190000000e-08  8.665718637e-01  6.263087461e-01  5.750977204e-01 
 3.390000000e-08  4.873845968e-01  7.745375434e-01  4.275401383e-01 
 3.590000000e-08  5.043299759e-01  3.112123726e-01  8.888789403e-01 
 3.790000000e-08  8.577969927e-01  8.643128574e-01  3.345451683e-01 
 3.990000000e-08  3.044594301e-01  4.871108697e-01  7.133372572e-01 
 4.190000000e-08  7.906930181e-01  5.078475227e-01  6.943298484e-01 
 4.390000000e-08  6.061625254e-01  8.551309503e-01  3.459755123e-01 
 4.590000000e-08  3.999545442e-01  3.064094654e-01  8.926349870e-01 
 4.790000000e-08  8.974063611e-01  7.899878070e-01  4.095284501e-01 
 4.990000000e-08  3.487267227e-01  6.053079977e-01  5.963671709e-01 
 5.190000000e-08  6.839100468e-01  4.039587536e-01  7.979527474e-01 
 5.390000000e-08  7.239416051e-01  8.943390115e-01  3.054315685e-01 
 5.590000000e-08  3.280013587e-01  3.495857067e-01  8.493467519e-01 
 5.790000000e-08  8.888165850e-01  6.851137144e-01  5.156671524e-01 
 5.990000000e-08  4.337191537e-01  7.224305922e-01  4.797837607e-01 
 6.190000000e-08  5.635244526e-01  3.315950637e-01  8.691783977e-01 
 6.390000000e-08  8.216321708e-01  8.860688889e-01  3.128458455e-01 
 6.590000000e-08  3.001409545e-01  4.337542692e-01  7.660486750e-01 
 6.790000000e-08  8.334119955e-01  5.664347882e-01  6.354659218e-01 
 6.990000000e-08  5.456613445e-01  8.193277454e-01  3.823601865e-01 
 7.190000000e-08  4.490524739e-01  3.026871686e-01  8.967945744e-01 
 1.900000000e-09  7.788518923e-01  8.930083752e-01  3.048031285e-01 
 3.900000000e-09  3.267296359e-01  3.660017750e-01  8.330144866e-01 
 5.900000000e-09  8.990011744e-01  7.152737688e-01  4.850192953e-01 
 7.900000000e-09  3.504039460e-01  6.331671195e-01  5.686712232e-01 
 9.900000000e-09  7.374701136e-01  4.297103501e-01  7.724406856e-01 
 1.190000000e-08  6.092085819e-01  8.679475625e-01  3.329667357e-01 
 1.390000000e-08  4.464273395e-01  3.032771041e-01  8.960492666e-01 
 1.590000000e-08  8.593374350e-01  8.502662242e-01  3.486210838e-01 
 1.790000000e-08  3.000655887e-01  4.577601501e-01  7.422072067e-01 
 1.990000000e-08  8.651564993e-01  5.986420917e-01  6.029435768e-01 
 2.190000000e-08  4.362645763e-01  7.470819127e-01  4.551459446e-01 
 2.390000000e-08  6.211743833e-01  3.475347610e-01  8.537083538e-01 
 2.590000000e-08  7.267092647e-01  8.964011015e-01  3.031891366e-01 
 2.790000000e-08  3.572398611e-01  3.338195741e-01  8.650232123e-01 
 2.990000000e-08  8.977908287e-01  7.676964713e-01  4.319663976e-01 
 3.190000000e-08  3.220128592e-01  5.727404296e-01  6.285507225e-01 
 3.390000000e-08  7.883304845e-01  4.820576696e-01  7.201763591e-01 
 3.590000000e-08  5.486612277e-01  8.368634007e-01  3.646793287e-01 
 3.790000000e-08  5.014461399e-01  3.061710956e-01  8.937241038e-01 
 3.990000000e-08  8.236759391e-01  8.771004825e-01  3.217654101e-01 
 4.190000000e-08  3.074057907e-01  4.079269156e-01  7.914665256e-01 
 4.390000000e-08  8.879770232e-01  6.581564379e-01  5.428127695e-01 
 4.590000000e-08  3.890164858e-01  6.920241705e-01  5.101447303e-01 
 4.790000000e-08  6.809798848e-01  3.842377909e-01  8.175633386e-01 
 4.990000000e-08  6.693793459e-01  8.880558350e-01  3.121697090e-01 
 5.190000000e-08  3.976933736e-01  3.126131653e-01  8.863438888e-01 
 5.390000000e-08  8.843875808e-01  8.132952075e-01  3.858735248e-01 
 5.590000000e-08  3.050011851e-01  5.134821469e-01  6.871509404e-01 
 5.790000000e-08  8.314842862e-01  5.391300593e-01  6.629049380e-01 
 5.990000000e-08  4.902153788e-01  7.960236616e-01  4.059829344e-01 
 6.190000000e-08  5.605023155e-01  3.211410845e-01  8.794295753e-01 
 6.390000000e-08  7.788523074e-01  8.926873285e-01  3.064251594e-01 
 6.590000000e-08  3.267290837e-01  3.660328454e-01  8.329647619e-01 
 6.790000000e-08  8.990025735e-01  7.153137887e-01  4.849797653e-01 
 6.990000000e-08  3.504058049e-01  6.331335407e-01  5.687046684e-01 
 7.190000000e-08  7.374701263e-01  4.297014235e-01  7.724494723e-01 
 1.900000000e-09  7.294645070e-01  8.961229643e-01  3.019897638e-01 
 3.900000000e-09  3.954537671e-01  3.212511122e-01  8.776025209e-01 
 5.900000000e-09  8.608592394e-01  8.340531503e-01  3.648098918e-01 
 7.900000000e-09  3.067506198e-01  4.301600681e-01  7.693133132e-01 
 9.900000000e-09  8.987429645e-01  6.892133519e-01  5.112484998e-01 
 1.190000000e-08  3.231679216e-01  6.005671954e-01  6.009297241e-01 
 1.390000000e-08  8.295307340e-01  5.124415999e-01  6.897367376e-01 
 1.590000000e-08  4.388254252e-01  7.704106236e-01  4.318409403e-01 
 1.790000000e-08  6.780423294e-01  3.664224869e-01  8.352734358e-01 
 1.990000000e-08  6.122537976e-01  8.783761759e-01  3.223479579e-01 
 2.190000000e-08  4.985725819e-01  3.037064543e-01  8.959833759e-01 
 2.390000000e-08  7.812895886e-01  8.865855655e-01  3.123761722e-01 
 2.590000000e-08  3.554645354e-01  3.476268551e-01  8.511582962e-01 
 2.790000000e-08  8.853390515e-01  7.929359955e-01  4.062785496e-01 
 2.990000000e-08  3.000201240e-01  4.829031594e-01  7.172053687e-01 
 3.190000000e-08  8.871069628e-01  6.307682831e-01  5.704040740e-01 
 3.390000000e-08  3.521101454e-01  6.605429275e-01  5.414678796e-01 
 3.590000000e-08  7.859484859e-01  4.573643100e-01  7.449367661e-01 
 3.790000000e-08  4.930567414e-01  8.157899385e-01  3.861530702e-01 
 3.990000000e-08  6.181338976e-01  3.343805095e-01  8.666938378e-01 
 4.190000000e-08  6.723394671e-01  8.930916560e-01  3.069257783e-01 
 4.390000000e-08  4.438174729e-01  3.064375789e-01  8.927141101e-01 
 4.590000000e-08  8.256956966e-01  8.656798353e-01  3.330960652e-01 
 4.790000000e-08  3.254855885e-01  3.844195916e-01  8.145892864e-01 
 4.990000000e-08  8.981429145e-01  7.439911951e-01  4.557837418e-01 
 5.190000000e-08  3.055639987e-01  5.405345756e-01  6.602871047e-01 
 5.390000000e-08  8.637154925e-01  5.710557241e-01  6.307247253e-01 
 5.590000000e-08  3.911918046e-01  7.179498219e-01  4.843265379e-01 
 5.790000000e-08  7.347534997e-01  4.080034687e-01  7.941265660e-01 
 5.990000000e-08  5.516661434e-01  8.522756827e-01  3.491273245e-01 
 6.190000000e-08  5.574839021e-01  3.131584321e-01  8.872081208e-01 
 6.390000000e-08  7.294636290e-01  8.958549613e-01  3.035426714e-01 
 6.590000000e-08  3.954514039e-01  3.212775802e-01  8.775571002e-01 
 6.790000000e-08  8.608588735e-01  8.340552273e-01  3.648091124e-01 
 6.990000000e-08  3.067523884e-01  4.301508119e-01  7.693222814e-01 
 7.190000000e-08  8.987404359e-01  6.892040599e-01  5.112580418e-01 
 1.900000000e-09  6.752935003e-01  8.957270401e-01  3.027754516e-01 
 3.900000000e-09  4.957125695e-01  3.037800859e-01  8.956685614e-01 
 5.900000000e-09  7.322050523e-01  8.927120960e-01  3.064370258e-01 
 7.900000000e-09  4.412224852e-01  3.121064180e-01  8.868127159e-01 
 9.900000000e-09  7.837066040e-01  8.779938619e-01  3.207576079e-01 
 1.190000000e-08  3.932362368e-01  3.322939878e-01  8.663593084e-01 
 1.390000000e-08  8.276901147e-01  8.520293971e-01  3.465990544e-01 
 1.590000000e-08  3.537123095e-01  3.635543547e-01  8.351246555e-01 
 1.790000000e-08  8.623502330e-01  8.158462727e-01  3.829564053e-01 
 1.990000000e-08  3.242704891e-01  4.045790164e-01  7.944156998e-01 
 2.190000000e-08  8.862636271e-01  7.709448944e-01  4.283063113e-01 
 2.390000000e-08  3.061274062e-01  4.537830090e-01  7.457764097e-01 
 2.590000000e-08  8.984682244e-01  7.191179873e-01  4.807913492e-01 
 2.790000000e-08  3.000055525e-01  5.090313490e-01  6.912556025e-01 
 2.990000000e-08  8.984496698e-01  6.624385658e-01  5.382385374e-01 
 3.190000000e-08  3.061710233e-01  5.680440833e-01  6.330156950e-01 
 3.390000000e-08  8.862076756e-01  6.032193851e-01  5.981997607e-01 
 3.590000000e-08  3.243590868e-01  6.283302409e-01  5.734091171e-01 
 3.790000000e-08  8.622497561e-01  5.437827800e-01  6.582250077e-01 
 3.990000000e-08  3.538374046e-01  6.874085274e-01  5.148039179e-01 
 4.190000000e-08  8.275609444e-01  4.866327002e-01  7.157130151e-01 
 4.390000000e-08  3.933898052e-01  7.427890433e-01  4.596129744e-01 
 4.590000000e-08  7.835499641e-01  4.340161040e-01  7.683636329e-01 
 4.790000000e-08  4.414056468e-01  7.922104770e-01  4.100689034e-01 
 4.990000000e-08  7.320269851e-01  3.880711541e-01  8.140354627e-01 
 5.190000000e-08  4.959075350e-01  8.336293917e-01  3.682396583e-01 
 5.390000000e-08  6.750960054e-01  3.507403438e-01  8.508352811e-01 
 5.590000000e-08  5.546752385e-01  8.654341990e-01  3.358063041e-01 
 5.790000000e-08  6.150913347e-01  3.235691377e-01  8.773074825e-01 
 5.990000000e-08  6.152972501e-01  8.863356342e-01  3.141635063e-01 
 6.190000000e-08  5.544689859e-01  3.076905941e-01  8.924325476e-01 
 6.390000000e-08  6.752933312e-01  8.955408427e-01  3.042225665e-01 
 6.590000000e-08  4.957125684e-01  3.038065194e-01  8.956284860e-01 
 6.790000000e-08  7.322049577e-01  8.927090489e-01  3.064409199e-01 
 6.990000000e-08  4.412210724e-01  3.121119672e-01  8.868071897e-01 
 7.190000000e-08  7.837098643e-01  8.779999948e-01  3.207513425e-01 
