 time             v(vi)            v(vo)           
 3.900000000e-09  8.999841550e-01  8.848094087e-01 
 5.900000000e-09  8.044892439e-01  8.642831537e-01 
 7.900000000e-09  5.817892869e-01  6.788870118e-01 
 9.900000000e-09  3.704175632e-01  4.440462057e-01 
 1.190000000e-08  3.018602487e-01  3.067855213e-01 
 1.390000000e-08  4.187659964e-01  3.522807917e-01 
 1.590000000e-08  6.484120638e-01  5.514353272e-01 
 1.790000000e-08  8.479422533e-01  7.804915962e-01 
 1.990000000e-08  8.932356465e-01  8.978591514e-01 
 2.190000000e-08  7.561169387e-01  8.302989507e-01 
 2.390000000e-08  5.218841363e-01  6.188534602e-01 
 2.590000000e-08  3.362439216e-01  3.955655589e-01 
 2.790000000e-08  3.146770866e-01  3.000958953e-01 
 2.990000000e-08  4.706001461e-01  3.913321476e-01 
 3.190000000e-08  7.070192378e-01  6.118442420e-01 
 3.390000000e-08  8.768644042e-01  8.248952739e-01 
 3.590000000e-08  8.744813706e-01  8.987451591e-01 
 3.790000000e-08  7.013530737e-01  7.868323661e-01 
 3.990000000e-08  4.651771196e-01  5.580397045e-01 
 4.190000000e-08  3.128693460e-01  3.555063829e-01 
 4.390000000e-08  3.391751518e-01  3.056948896e-01 
 4.590000000e-08  5.277321589e-01  4.388839931e-01 
 4.790000000e-08  7.612449388e-01  6.717585178e-01 
 4.990000000e-08  8.944517368e-01  8.601486325e-01 
 5.190000000e-08  8.444899775e-01  8.874068846e-01 
 5.390000000e-08  6.424399400e-01  7.356605213e-01 
 5.590000000e-08  4.139894822e-01  4.989579793e-01 
 5.790000000e-08  3.012494577e-01  3.255065138e-01 
 5.990000000e-08  3.743511216e-01  3.233358955e-01 
 6.190000000e-08  5.878228129e-01  4.929881762e-01 
 6.390000000e-08  8.088693360e-01  7.287454631e-01 
 6.590000000e-08  8.999841698e-01  8.848094920e-01 
 6.790000000e-08  8.044895200e-01  8.642831402e-01 
 6.990000000e-08  5.817892961e-01  6.788870273e-01 
 7.190000000e-08  3.704175682e-01  4.440461899e-01 
 1.900000000e-09  8.462151359e-01  7.579976580e-01 
 3.900000000e-09  8.756961870e-01  8.997939011e-01 
 5.900000000e-09  6.454520641e-01  7.597199120e-01 
 7.900000000e-09  3.723897640e-01  4.681943574e-01 
 9.900000000e-09  3.137508083e-01  3.016306822e-01 
 1.190000000e-08  5.247805039e-01  4.166237756e-01 
 1.390000000e-08  8.066724370e-01  7.035057055e-01 
 1.590000000e-08  8.938635641e-01  8.933436964e-01 
 1.790000000e-08  7.042137343e-01  8.076360619e-01 
 1.990000000e-08  4.163886295e-01  5.253131246e-01 
 2.190000000e-08  3.015371582e-01  3.137881739e-01 
 2.390000000e-08  4.678595275e-01  3.726835803e-01 
 2.590000000e-08  7.586686343e-01  6.449499087e-01 
 2.790000000e-08  8.999990872e-01  8.749365289e-01 
 2.990000000e-08  7.587091204e-01  8.469829209e-01 
 3.190000000e-08  4.679045253e-01  5.855188603e-01 
 3.390000000e-08  3.015427614e-01  3.377075715e-01 
 3.590000000e-08  4.163483309e-01  3.380023097e-01 
 3.790000000e-08  7.041689482e-01  5.845531623e-01 
 3.990000000e-08  8.938536471e-01  8.453418360e-01 
 4.190000000e-08  8.067064807e-01  8.761602617e-01 
