 time             v(vi)            v(vo)           
 1.900000000e-09  6.574084798e-01  6.339961988e-01 
 3.900000000e-09  7.155068447e-01  6.933004888e-01 
 5.900000000e-09  7.688763677e-01  7.487853234e-01 
 7.900000000e-09  8.153320657e-01  7.981782517e-01 
 9.900000000e-09  8.529720218e-01  8.394544746e-01 
 1.190000000e-08  8.802552747e-01  8.709338073e-01 
 1.390000000e-08  8.960648633e-01  8.913190283e-01 
 1.590000000e-08  8.997535109e-01  8.997753442e-01 
 1.790000000e-08  8.911702134e-01  8.959602429e-01 
 1.990000000e-08  8.706664042e-01  8.800299799e-01 
 2.190000000e-08  8.390814276e-01  8.526340189e-01 
 2.390000000e-08  7.977084633e-01  8.148918235e-01 
 2.590000000e-08  7.482412741e-01  7.683597599e-01 
 2.790000000e-08  6.927050913e-01  7.149271594e-01 
 2.990000000e-08  6.333735318e-01  6.567919173e-01 
 3.190000000e-08  5.726756572e-01  5.963327821e-01 
 3.390000000e-08  5.130964432e-01  5.360239927e-01 
 3.590000000e-08  4.570750890e-01  4.783284246e-01 
 3.790000000e-08  4.069050755e-01  4.256241250e-01 
 3.990000000e-08  3.646404018e-01  3.800536750e-01 
 4.190000000e-08  3.320113635e-01  3.434875819e-01 
 4.390000000e-08  3.103538418e-01  3.174244877e-01 
 4.590000000e-08  3.005544495e-01  3.029296158e-01 
 4.790000000e-08  3.030143945e-01  3.005947765e-01 
 4.990000000e-08  3.176329561e-01  3.105203204e-01 
 5.190000000e-08  3.438116499e-01  3.322958769e-01 
 5.390000000e-08  3.804787298e-01  3.650316135e-01 
 5.590000000e-08  4.261330630e-01  4.073872455e-01 
 5.790000000e-08  4.789055004e-01  4.576317949e-01 
 5.990000000e-08  5.366355811e-01  5.136970460e-01 
 6.190000000e-08  5.969597950e-01  5.733051646e-01 
 6.390000000e-08  6.574084750e-01  6.339955591e-01 
 6.590000000e-08  7.155068460e-01  6.932994972e-01 
 6.790000000e-08  7.688763673e-01  7.487850481e-01 
 6.990000000e-08  8.153320406e-01  7.981779867e-01 
 7.190000000e-08  8.529720155e-01  8.394565728e-01 
 1.900000000e-09  7.126950595e-01  6.675518660e-01 
 3.900000000e-09  8.132041887e-01  7.773421641e-01 
 5.900000000e-09  8.791560712e-01  8.583898166e-01 
 7.900000000e-09  8.998612429e-01  8.975556057e-01 
 9.900000000e-09  8.719635952e-01  8.884884453e-01 
 1.190000000e-08  7.999848449e-01  8.326658940e-01 
 1.390000000e-08  6.955916873e-01  7.391313088e-01 
 1.590000000e-08  5.757046331e-01  6.230376888e-01 
 1.790000000e-08  4.597554850e-01  5.032236321e-01 
 1.990000000e-08  3.665377622e-01  3.990890405e-01 
 2.190000000e-08  3.111606245e-01  3.275185956e-01 
 2.390000000e-08  3.025998288e-01  3.001117766e-01 
 2.590000000e-08  3.422429104e-01  3.213142862e-01 
 2.790000000e-08  4.236645033e-01  3.876870922e-01 
 2.990000000e-08  5.336672358e-01  4.884803734e-01 
 3.190000000e-08  6.544214914e-01  6.073376336e-01 
 3.390000000e-08  7.663548927e-01  7.250051045e-01 
 3.590000000e-08  8.513247007e-01  8.224178183e-01 
 3.790000000e-08  8.955587353e-01  8.837794882e-01 
 3.990000000e-08  8.918873914e-01  8.991451893e-01 
 4.190000000e-08  8.409055574e-01  8.660186080e-01 
 4.390000000e-08  7.508767321e-01  7.897838285e-01 
 4.590000000e-08  6.363931339e-01  6.827741379e-01 
 4.790000000e-08  5.160107867e-01  5.623547272e-01 
 4.990000000e-08  4.092417471e-01  4.480387369e-01 
 5.190000000e-08  3.333916714e-01  3.583570791e-01 
 5.390000000e-08  3.007546619e-01  3.078353692e-01 
 5.590000000e-08  3.166206108e-01  3.046687512e-01 
 5.790000000e-08  3.784179370e-01  3.493699860e-01 
 5.990000000e-08  4.761302412e-01  4.346945556e-01 
 6.190000000e-08  5.939199097e-01  5.468130494e-01 
 6.390000000e-08  7.126950493e-01  6.675530657e-01 
 6.590000000e-08  8.132041498e-01  7.773424803e-01 
 6.790000000e-08  8.791561346e-01  8.583908271e-01 
 6.990000000e-08  8.998612233e-01  8.975553540e-01 
 7.190000000e-08  8.719636020e-01  8.884898861e-01 
 1.900000000e-09  7.638162449e-01  7.002447167e-01 
 3.900000000e-09  8.780283035e-01  8.437873769e-01 
 5.900000000e-09  8.925745492e-01  8.999488947e-01 
 7.900000000e-09  8.022406812e-01  8.485870660e-01 
 9.900000000e-09  6.394089859e-01  7.081116963e-01 
 1.190000000e-08  4.624503164e-01  5.288832677e-01 
 1.390000000e-08  3.347995104e-01  3.751473750e-01 
 1.590000000e-08  3.022159545e-01  3.020161895e-01 
 1.790000000e-08  3.763799484e-01  3.357025659e-01 
 1.990000000e-08  5.307056868e-01  4.641381848e-01 
 2.190000000e-08  7.098717248e-01  6.412683118e-01 
 2.390000000e-08  8.496515751e-01  8.036116825e-01 
 2.590000000e-08  8.999380259e-01  8.929668312e-01 
 2.790000000e-08  8.427048679e-01  8.772958141e-01 
 2.990000000e-08  6.984684870e-01  7.622255680e-01 
 3.190000000e-08  5.189337826e-01  5.890015920e-01 
 3.390000000e-08  3.684590397e-01  4.197151886e-01 
 3.590000000e-08  3.009856386e-01  3.150649530e-01 
 3.790000000e-08  3.407006650e-01  3.125531585e-01 
 3.990000000e-08  4.733676201e-01  4.130783352e-01 
 4.190000000e-08  6.514289296e-01  5.806107687e-01 
 4.390000000e-08  8.110543954e-01  7.551092760e-01 
 4.590000000e-08  8.950223673e-01  8.739832822e-01 
 4.790000000e-08  8.732327315e-01  8.946543104e-01 
 4.990000000e-08  7.534966443e-01  8.096993164e-01 
 5.190000000e-08  5.787361023e-01  6.495736227e-01 
 5.390000000e-08  4.115981424e-01  4.716753843e-01 
 5.590000000e-08  3.119971687e-01  3.397787013e-01 
 5.790000000e-08  3.156374490e-01  3.011661669e-01 
 5.990000000e-08  4.212139907e-01  3.696758360e-01 
