 time             v(vi)            v(vo)           
 1.900000000e-09  6.574009767e-01  6.311113560e-01 
 3.900000000e-09  7.154998618e-01  6.905015741e-01 
 5.900000000e-09  7.688701563e-01  7.462051216e-01 
 7.900000000e-09  8.153268696e-01  7.959260258e-01 
 9.900000000e-09  8.529680330e-01  8.376336124e-01 
 1.190000000e-08  8.802526563e-01  8.696184056e-01 
 1.390000000e-08  8.960636608e-01  8.905700216e-01 
 1.590000000e-08  8.997537809e-01  8.996294906e-01 
 1.790000000e-08  8.911719474e-01  8.964220756e-01 
 1.990000000e-08  8.706695117e-01  8.810773078e-01 
 2.190000000e-08  8.390858534e-01  8.542217792e-01 
 2.390000000e-08  7.977140252e-01  8.169491627e-01 
 2.590000000e-08  7.482477709e-01  7.707889823e-01 
 2.790000000e-08  6.927122621e-01  7.176275044e-01 
 2.990000000e-08  6.333811241e-01  6.596452497e-01 
 3.190000000e-08  5.726833563e-01  5.992225370e-01 
 3.390000000e-08  5.131039352e-01  5.388301578e-01 
 3.590000000e-08  4.570820381e-01  4.809418511e-01 
 3.790000000e-08  4.069111949e-01  4.279309640e-01 
 3.990000000e-08  3.646453801e-01  3.819768209e-01 
 4.190000000e-08  3.320150189e-01  3.449498569e-01 
 4.390000000e-08  3.103559500e-01  3.183695872e-01 
 4.590000000e-08  3.005549259e-01  3.033218561e-01 
 4.790000000e-08  3.030132126e-01  3.004232930e-01 
 4.990000000e-08  3.176301734e-01  3.097882555e-01 
 5.190000000e-08  3.438074213e-01  3.310299759e-01 
 5.390000000e-08  3.804732418e-01  3.632791644e-01 
 5.590000000e-08  4.261265411e-01  4.052145610e-01 
 5.790000000e-08  4.788982530e-01  4.551156372e-01 
 5.990000000e-08  5.366279269e-01  5.109467570e-01 
 6.190000000e-08  5.969520558e-01  5.704154784e-01 
 6.390000000e-08  6.574009657e-01  6.310960091e-01 
 6.590000000e-08  7.154998620e-01  6.905013133e-01 
 6.790000000e-08  7.688701580e-01  7.462056189e-01 
 6.990000000e-08  8.153268643e-01  7.959245684e-01 
 7.190000000e-08  8.529680330e-01  8.376314198e-01 
 1.900000000e-09  7.126810741e-01  6.618867457e-01 
 3.900000000e-09  8.131937044e-01  7.725226230e-01 
 5.900000000e-09  8.791507769e-01  8.552769278e-01 
 7.900000000e-09  8.998616634e-01  8.967001012e-01 
 9.900000000e-09  8.719696876e-01  8.900541816e-01 
 1.190000000e-08  7.999958996e-01  8.363701058e-01 
 1.390000000e-08  6.956060112e-01  7.443276520e-01 
 1.590000000e-08  5.757200521e-01  6.288401143e-01 
 1.790000000e-08  4.597694567e-01  5.086687092e-01 
 1.990000000e-08  3.665478408e-01  4.033316323e-01 
 2.190000000e-08  3.111650361e-01  3.299128159e-01 
 2.390000000e-08  3.025976761e-01  3.003098720e-01 
 2.590000000e-08  3.422346277e-01  3.192845249e-01 
 2.790000000e-08  4.236514897e-01  3.837324435e-01 
 2.990000000e-08  5.336519747e-01  4.831861350e-01 
 3.190000000e-08  6.544064729e-01  6.015360548e-01 
 3.390000000e-08  7.663424102e-01  7.196252238e-01 
 3.590000000e-08  8.513166941e-01  8.183607428e-01 
 3.790000000e-08  8.955562546e-01  8.817498789e-01 
 3.990000000e-08  8.918906711e-01  8.995079872e-01 
 4.190000000e-08  8.409142800e-01  8.687174996e-01 
 4.390000000e-08  7.508897015e-01  7.943331496e-01 
 4.590000000e-08  6.364083118e-01  6.883947051e-01 
 4.790000000e-08  5.160258158e-01  5.681073430e-01 
 4.990000000e-08  4.092540404e-01  4.529850793e-01 
 5.190000000e-08  3.333991338e-01  3.617395664e-01 
 5.390000000e-08  3.007558286e-01  3.091551203e-01 
 5.590000000e-08  3.166151934e-01  3.037344955e-01 
 5.790000000e-08  3.784069995e-01  3.463178010e-01 
 5.990000000e-08  4.761158352e-01  4.299852117e-01 
 6.190000000e-08  5.939044508e-01  5.411588252e-01 
 6.390000000e-08  7.126810375e-01  6.618467554e-01 
 6.590000000e-08  8.131937297e-01  7.725219580e-01 
 6.790000000e-08  8.791507280e-01  8.552753262e-01 
 6.990000000e-08  8.998616631e-01  8.966998585e-01 
 7.190000000e-08  8.719696876e-01  8.900541059e-01 
 1.900000000e-09  7.637974330e-01  6.919702673e-01 
 3.900000000e-09  8.780200130e-01  8.384372866e-01 
 5.900000000e-09  8.925792198e-01  8.996386194e-01 
 7.900000000e-09  8.022571540e-01  8.534690050e-01 
 9.900000000e-09  6.394317176e-01  7.162916591e-01 
 1.190000000e-08  4.624713294e-01  5.373127623e-01 
 1.390000000e-08  3.348108317e-01  3.808640001e-01 
 1.590000000e-08  3.022129584e-01  3.031092817e-01 
 1.790000000e-08  3.763637074e-01  3.318319681e-01 
 1.990000000e-08  5.306828341e-01  4.565843285e-01 
 2.190000000e-08  7.098505484e-01  6.326188644e-01 
 2.390000000e-08  8.496393753e-01  7.969668701e-01 
 2.590000000e-08  8.999386114e-01  8.908482782e-01 
 2.790000000e-08  8.427177759e-01  8.805657422e-01 
 2.990000000e-08  6.984898590e-01  7.696133228e-01 
 3.190000000e-08  5.189563241e-01  5.977098180e-01 
 3.390000000e-08  3.684743750e-01  4.266215133e-01 
 3.590000000e-08  3.009875746e-01  3.178173971e-01 
 3.790000000e-08  3.406883057e-01  3.102677485e-01 
 3.990000000e-08  4.733461965e-01  4.065230130e-01 
 4.190000000e-08  6.514063165e-01  5.719920482e-01 
 4.390000000e-08  8.110384069e-01  7.474507174e-01 
 4.590000000e-08  8.950184955e-01  8.701605852e-01 
 4.790000000e-08  8.732417242e-01  8.961672630e-01 
 4.990000000e-08  7.535159703e-01  8.159676659e-01 
 5.190000000e-08  5.787592371e-01  6.581958508e-01 
 5.390000000e-08  4.116166221e-01  4.794960125e-01 
 5.590000000e-08  3.120039822e-01  3.440945488e-01 
 5.790000000e-08  3.156294777e-01  3.005591171e-01 
 5.990000000e-08  4.211946705e-01  3.643610963e-01 
 6.190000000e-08  5.908574641e-01  5.125015341e-01 
 6.390000000e-08  7.637974266e-01  6.919122994e-01 
 6.590000000e-08  8.780200048e-01  8.384367863e-01 
 6.790000000e-08  8.925792249e-01  8.996408630e-01 
 6.990000000e-08  8.022571529e-01  8.534633909e-01 
 7.190000000e-08  6.394317496e-01  7.162902746e-01 
 1.900000000e-09  8.088615440e-01  7.210456871e-01 
 3.900000000e-09  8.999843481e-01  8.821457615e-01 
 5.900000000e-09  8.044975953e-01  8.680582153e-01 
 7.900000000e-09  5.818006358e-01  6.870049520e-01 
 9.900000000e-09  3.704249003e-01  4.516197610e-01 
 1.190000000e-08  3.018590501e-01  3.087973102e-01 
 1.390000000e-08  4.187564823e-01  3.472905639e-01 
 1.590000000e-08  6.484009427e-01  5.427480311e-01 
 1.790000000e-08  8.479360953e-01  7.736640562e-01 
 1.990000000e-08  8.932375963e-01  8.968196700e-01 
 2.190000000e-08  7.561262299e-01  8.354810668e-01 
 2.390000000e-08  5.218952573e-01  6.273538437e-01 
 2.590000000e-08  3.362500882e-01  4.021354350e-01 
