 time             v(vi)            v(vo)           
 3.900000000e-09  4.999899236e-01  4.908441837e-01 
 5.900000000e-09  4.363513152e-01  4.748008419e-01 
 7.900000000e-09  2.878947419e-01  3.499487939e-01 
 9.900000000e-09  1.469683936e-01  1.939817370e-01 
 1.190000000e-08  1.012361829e-01  1.040429791e-01 
 1.390000000e-08  1.791484922e-01  1.360452188e-01 
 1.590000000e-08  3.322401458e-01  2.699764165e-01 
 1.790000000e-08  4.652756571e-01  4.225439697e-01 
 1.990000000e-08  4.954974329e-01  4.989658060e-01 
 2.190000000e-08  4.041074364e-01  4.516590403e-01 
 2.390000000e-08  2.479570488e-01  3.099217508e-01 
 2.590000000e-08  1.241800644e-01  1.620043680e-01 
 2.790000000e-08  1.097735525e-01  1.000156622e-01 
 2.990000000e-08  2.137011533e-01  1.624447331e-01 
 3.190000000e-08  3.713136820e-01  3.103688823e-01 
 3.390000000e-08  4.845634068e-01  4.518338057e-01 
 3.590000000e-08  4.830011965e-01  4.989454857e-01 
 3.790000000e-08  3.676014002e-01  4.223005164e-01 
 3.990000000e-08  2.101499759e-01  2.694880362e-01 
 4.190000000e-08  1.085901463e-01  1.356834537e-01 
 4.390000000e-08  1.260985711e-01  1.041766488e-01 
 4.590000000e-08  2.517869804e-01  1.944699245e-01 
 4.790000000e-08  4.074676489e-01  3.503360291e-01 
 4.990000000e-08  4.962949189e-01  4.749155444e-01 
 5.190000000e-08  4.630132498e-01  4.907801911e-01 
 5.390000000e-08  3.283279297e-01  3.879276087e-01 
 5.590000000e-08  1.760214864e-01  2.303057673e-01 
 5.790000000e-08  1.008361699e-01  1.160961583e-01 
 5.990000000e-08  1.495436526e-01  1.163536053e-01 
 6.190000000e-08  2.918466442e-01  2.308095507e-01 
 6.390000000e-08  4.392215133e-01  3.882440397e-01 
 6.590000000e-08  4.999897754e-01  4.908441127e-01 
 6.790000000e-08  4.363513133e-01  4.748008202e-01 
 6.990000000e-08  2.878947258e-01  3.499488974e-01 
 7.190000000e-08  1.469683721e-01  1.939819232e-01 
 1.900000000e-09  4.641193617e-01  4.081235460e-01 
 3.900000000e-09  4.838138150e-01  4.999535006e-01 
 5.900000000e-09  3.303446826e-01  4.034608237e-01 
 7.900000000e-09  1.482891631e-01  2.093719634e-01 
 9.900000000e-09  1.091538975e-01  1.007736604e-01 
 1.190000000e-08  2.498105972e-01  1.799136516e-01 
 1.390000000e-08  4.377507824e-01  3.720636436e-01 
 1.590000000e-08  4.959170278e-01  4.963982963e-01 
 1.790000000e-08  3.695164650e-01  4.358077360e-01 
 1.990000000e-08  1.776280711e-01  2.471368534e-01 
 2.190000000e-08  1.010199380e-01  1.083362943e-01 
 2.390000000e-08  2.118661335e-01  1.501928863e-01 
 2.590000000e-08  4.057424756e-01  3.330678266e-01 
 2.790000000e-08  4.999993340e-01  4.848088722e-01 
 2.990000000e-08  4.058424156e-01  4.625853610e-01 
 3.190000000e-08  2.119764962e-01  2.870707051e-01 
 3.390000000e-08  1.010325917e-01  1.237511112e-01 
 3.590000000e-08  1.775302300e-01  1.265986733e-01 
 3.790000000e-08  3.694052038e-01  2.927185612e-01 
 3.990000000e-08  4.958941797e-01  4.656623581e-01 
 4.190000000e-08  4.378356349e-01  4.826980879e-01 
 4.390000000e-08  2.499285188e-01  3.275350978e-01 
 4.590000000e-08  1.091913137e-01  1.463889182e-01 
 4.790000000e-08  1.482082406e-01  1.100983834e-01 
 4.990000000e-08  3.302263403e-01  2.526643610e-01 
 5.190000000e-08  4.837681051e-01  4.397436448e-01 
 5.390000000e-08  4.641853633e-01  4.953250598e-01 
 5.590000000e-08  2.899304916e-01  3.668697575e-01 
 5.790000000e-08  1.251615402e-01  1.753240868e-01 
 5.990000000e-08  1.251005426e-01  1.013701421e-01 
 6.190000000e-08  2.898098857e-01  2.145432473e-01 
 6.390000000e-08  4.641189958e-01  4.081128555e-01 
 6.590000000e-08  4.838142923e-01  4.999534859e-01 
 6.790000000e-08  3.303446856e-01  4.034612934e-01 
 6.990000000e-08  1.482891689e-01  2.093716772e-01 
 7.190000000e-08  1.091538486e-01  1.007737595e-01 
 1.900000000e-09  4.829539933e-01  4.265781792e-01 
 3.900000000e-09  4.393052653e-01  4.891592511e-01 
 5.900000000e-09  2.138119379e-01  3.047584710e-01 
 7.900000000e-09  1.008250786e-01  1.141263557e-01 
 9.900000000e-09  2.478395862e-01  1.662950016e-01 
 1.190000000e-08  4.629457982e-01  3.928451807e-01 
 1.390000000e-08  4.653405807e-01  4.983363251e-01 
 1.590000000e-08  2.519051799e-01  3.449354394e-01 
 1.790000000e-08  1.012506965e-01  1.327841167e-01 
 1.990000000e-08  2.100405599e-01  1.391091662e-01 
 2.190000000e-08  4.362652752e-01  3.553279303e-01 
 2.390000000e-08  4.846077766e-01  4.993939602e-01 
 2.590000000e-08  2.919672684e-01  3.832680804e-01 
 2.790000000e-08  1.098129414e-01  1.582974144e-01 
 2.990000000e-08  1.759244124e-01  1.185033496e-01 
 3.190000000e-08  4.040068344e-01  3.155483501e-01 
 3.390000000e-08  4.963162631e-01  4.922938164e-01 
 3.590000000e-08  3.323581117e-01  4.181823657e-01 
 3.790000000e-08  1.261612076e-01  1.896220132e-01 
 3.990000000e-08  1.468882107e-01  1.053234067e-01 
 4.190000000e-08  3.674896086e-01  2.751308410e-01 
 4.390000000e-08  4.999885582e-01  4.773304556e-01 
 4.590000000e-08  3.714242989e-01  4.482484726e-01 
 4.790000000e-08  1.496257248e-01  2.254749016e-01 
 4.990000000e-08  1.241208936e-01  1.001119908e-01 
 5.190000000e-08  3.282093476e-01  2.357265585e-01 
 5.390000000e-08  4.954723792e-01  4.551186075e-01 
 5.590000000e-08  4.075664901e-01  4.722335151e-01 
 5.790000000e-08  1.792475821e-01  2.643858816e-01 
 5.990000000e-08  1.085542127e-01  1.030858615e-01 
 6.190000000e-08  2.877741869e-01  1.989451845e-01 
 6.390000000e-08  4.829539370e-01  4.265678434e-01 
 6.590000000e-08  4.393050140e-01  4.891592829e-01 
 6.790000000e-08  2.138122595e-01  3.047585011e-01 
 6.990000000e-08  1.008251662e-01  1.141262510e-01 
 7.190000000e-08  2.478394862e-01  1.662950630e-01 
 1.900000000e-09  4.950306449e-01  4.433781152e-01 
 3.900000000e-09  3.733246383e-01  4.595222531e-01 
 5.900000000e-09  1.271788588e-01  2.047870314e-01 
 7.900000000e-09  1.743312408e-01  1.118227055e-01 
 9.900000000e-09  4.347665458e-01  3.381675380e-01 
 1.190000000e-08  4.664796028e-01  4.997920239e-01 
 1.390000000e-08  2.156565640e-01  3.224111238e-01 
 1.590000000e-08  1.079742879e-01  1.069350641e-01 
 1.790000000e-08  3.261894561e-01  2.192927961e-01 
 1.990000000e-08  4.999563368e-01  4.684695259e-01 
 2.190000000e-08  3.343683094e-01  4.319746726e-01 
 2.390000000e-08  1.104540526e-01  1.713163898e-01 
 2.590000000e-08  2.082241978e-01  1.292797899e-01 
 2.790000000e-08  4.617545512e-01  3.768595307e-01 
 2.990000000e-08  4.407605804e-01  4.941349338e-01 
 3.190000000e-08  1.808790632e-01  2.819174821e-01 
 3.390000000e-08  1.231587893e-01  1.004130567e-01 
 3.590000000e-08  3.655667325e-01  2.577417324e-01 
 3.790000000e-08  4.966956732e-01  4.866868688e-01 
 3.990000000e-08  2.940048798e-01  3.990119498e-01 
 4.190000000e-08  1.014889694e-01  1.431255741e-01 
