 time             v(vi)            v(vo)           
 1.900000000e-09  6.574022866e-01  6.311042122e-01 
 3.900000000e-09  7.155010912e-01  6.904901053e-01 
 5.900000000e-09  7.688712546e-01  7.461945091e-01 
 7.900000000e-09  8.153277706e-01  7.959164440e-01 
 9.900000000e-09  8.529687592e-01  8.376264260e-01 
 1.190000000e-08  8.802531109e-01  8.696122616e-01 
 1.390000000e-08  8.960638609e-01  8.905678665e-01 
 1.590000000e-08  8.997537213e-01  8.996297362e-01 
 1.790000000e-08  8.911716374e-01  8.964235966e-01 
 1.990000000e-08  8.706689538e-01  8.810822894e-01 
 2.190000000e-08  8.390850667e-01  8.542282426e-01 
 2.390000000e-08  7.977130388e-01  8.169587477e-01 
 2.590000000e-08  7.482466196e-01  7.708003329e-01 
 2.790000000e-08  6.927109896e-01  7.176390337e-01 
 2.990000000e-08  6.333797793e-01  6.596617938e-01 
 3.190000000e-08  5.726819971e-01  5.992377794e-01 
 3.390000000e-08  5.131026086e-01  5.388427303e-01 
 3.590000000e-08  4.570808180e-01  4.809556159e-01 
 3.790000000e-08  4.069101100e-01  4.279460775e-01 
 3.990000000e-08  3.646445254e-01  3.819871113e-01 
 4.190000000e-08  3.320143732e-01  3.449577039e-01 
 4.390000000e-08  3.103555760e-01  3.183747031e-01 
 4.590000000e-08  3.005548400e-01  3.033243192e-01 
 4.790000000e-08  3.030134025e-01  3.004240079e-01 
 4.990000000e-08  3.176306413e-01  3.097855688e-01 
 5.190000000e-08  3.438081523e-01  3.310263135e-01 
 5.390000000e-08  3.804742040e-01  3.632740663e-01 
 5.590000000e-08  4.261276765e-01  4.052064816e-01 
 5.790000000e-08  4.788995345e-01  4.551079313e-01 
 5.990000000e-08  5.366292651e-01  5.109351721e-01 
 6.190000000e-08  5.969534162e-01  5.704057395e-01 
 6.390000000e-08  6.574022865e-01  6.310846648e-01 
 6.590000000e-08  7.155010943e-01  6.904871140e-01 
 6.790000000e-08  7.688712604e-01  7.461925793e-01 
 6.990000000e-08  8.153277765e-01  7.959173538e-01 
 7.190000000e-08  8.529687375e-01  8.376261978e-01 
 1.900000000e-09  7.126835078e-01  6.618696878e-01 
 3.900000000e-09  8.131954853e-01  7.725043167e-01 
 5.900000000e-09  8.791516214e-01  8.552620625e-01 
 7.900000000e-09  8.998615511e-01  8.966977221e-01 
 9.900000000e-09  8.719685907e-01  8.900621287e-01 
 1.190000000e-08  7.999939277e-01  8.363876746e-01 
 1.390000000e-08  6.956034931e-01  7.443491292e-01 
 1.590000000e-08  5.757173399e-01  6.288687581e-01 
 1.790000000e-08  4.597669813e-01  5.087004084e-01 
 1.990000000e-08  3.665461276e-01  4.033549643e-01 
 2.190000000e-08  3.111642610e-01  3.299285648e-01 
 2.390000000e-08  3.025980307e-01  3.003114608e-01 
 2.590000000e-08  3.422360747e-01  3.192764834e-01 
 2.790000000e-08  4.236537444e-01  3.837118772e-01 
 2.990000000e-08  5.336546483e-01  4.831635252e-01 
 3.190000000e-08  6.544091169e-01  6.015089388e-01 
 3.390000000e-08  7.663446003e-01  7.196060945e-01 
 3.590000000e-08  8.513181504e-01  8.183457110e-01 
 3.790000000e-08  8.955567098e-01  8.817444030e-01 
 3.990000000e-08  8.918900943e-01  8.995113021e-01 
 4.190000000e-08  8.409127819e-01  8.687332966e-01 
 4.390000000e-08  7.508873992e-01  7.943513580e-01 
 4.590000000e-08  6.364056276e-01  6.884227475e-01 
 4.790000000e-08  5.160231591e-01  5.681303851e-01 
 4.990000000e-08  4.092519324e-01  4.530132104e-01 
 5.190000000e-08  3.333977325e-01  3.617557128e-01 
 5.390000000e-08  3.007556126e-01  3.091644535e-01 
 5.590000000e-08  3.166161541e-01  3.037305350e-01 
 5.790000000e-08  3.784089290e-01  3.463081498e-01 
 5.990000000e-08  4.761183670e-01  4.299642357e-01 
 6.190000000e-08  5.939071658e-01  5.411363930e-01 
 6.390000000e-08  7.126835579e-01  6.618266018e-01 
 6.590000000e-08  8.131954822e-01  7.725009411e-01 
 6.790000000e-08  8.791516214e-01  8.552601344e-01 
 6.990000000e-08  8.998615397e-01  8.966978918e-01 
 7.190000000e-08  8.719685917e-01  8.900616247e-01 
 1.900000000e-09  7.638008861e-01  6.919479707e-01 
 3.900000000e-09  8.780212984e-01  8.384172513e-01 
 5.900000000e-09  8.925783499e-01  8.996403007e-01 
 7.900000000e-09  8.022542498e-01  8.534880660e-01 
 9.900000000e-09  6.394277226e-01  7.163346627e-01 
 1.190000000e-08  4.624677161e-01  5.373588181e-01 
 1.390000000e-08  3.348089118e-01  3.808953303e-01 
 1.590000000e-08  3.022134326e-01  3.031174497e-01 
 1.790000000e-08  3.763665288e-01  3.318170261e-01 
 1.990000000e-08  5.306869011e-01  4.565579004e-01 
 2.190000000e-08  7.098543097e-01  6.325852297e-01 
 2.390000000e-08  8.496414688e-01  7.969379167e-01 
 2.590000000e-08  8.999385228e-01  8.908417227e-01 
 2.790000000e-08  8.427154857e-01  8.805814176e-01 
 2.990000000e-08  6.984861530e-01  7.696517687e-01 
 3.190000000e-08  5.189524125e-01  5.977533789e-01 
 3.390000000e-08  3.684717261e-01  4.266589126e-01 
 3.590000000e-08  3.009872676e-01  3.178337729e-01 
 3.790000000e-08  3.406907302e-01  3.102592693e-01 
 3.990000000e-08  4.733499927e-01  4.064947439e-01 
 4.190000000e-08  6.514102965e-01  5.719570190e-01 
 4.390000000e-08  8.110411886e-01  7.474203909e-01 
 4.590000000e-08  8.950191399e-01  8.701465766e-01 
 4.790000000e-08  8.732401526e-01  8.961742960e-01 
 4.990000000e-08  7.535124682e-01  8.160002483e-01 
 5.190000000e-08  5.787551749e-01  6.582418758e-01 
 5.390000000e-08  4.116135128e-01  4.795376582e-01 
 5.590000000e-08  3.120026424e-01  3.441177880e-01 
 5.790000000e-08  3.156307251e-01  3.005591201e-01 
 5.990000000e-08  4.211981877e-01  3.643376583e-01 
 6.190000000e-08  5.908615450e-01  5.124693178e-01 
 6.390000000e-08  7.638007645e-01  6.918760953e-01 
 6.590000000e-08  8.780213016e-01  8.384109191e-01 
 6.790000000e-08  8.925783282e-01  8.996409633e-01 
 6.990000000e-08  8.022542396e-01  8.534879877e-01 
 7.190000000e-08  6.394277145e-01  7.163413056e-01 
 1.900000000e-09  8.088651928e-01  7.210077513e-01 
 3.900000000e-09  8.999847580e-01  8.821259513e-01 
 5.900000000e-09  8.044934966e-01  8.680837457e-01 
 7.900000000e-09  5.817951994e-01  6.870532104e-01 
 9.900000000e-09  3.704211439e-01  4.516726001e-01 
 1.190000000e-08  3.018596453e-01  3.088154290e-01 
 1.390000000e-08  4.187609440e-01  3.472572427e-01 
 1.590000000e-08  6.484062002e-01  5.427026933e-01 
 1.790000000e-08  8.479392626e-01  7.736314320e-01 
 1.990000000e-08  8.932368760e-01  8.968152711e-01 
 2.190000000e-08  7.561217023e-01  8.355163512e-01 
 2.390000000e-08  5.218898921e-01  6.274199017e-01 
 2.590000000e-08  3.362471767e-01  4.021801939e-01 
 2.790000000e-08  3.146750453e-01  3.002995464e-01 
 2.990000000e-08  4.705947429e-01  3.849116073e-01 
 3.190000000e-08  7.070136987e-01  6.030591321e-01 
 3.390000000e-08  8.768622201e-01  8.192440205e-01 
 3.590000000e-08  8.744837682e-01  8.993626510e-01 
 3.790000000e-08  7.013585287e-01  7.932797273e-01 
