 time             v(vi)            v(vo)           
 1.900000000e-09  6.574023065e-01  6.334224006e-01 
 3.900000000e-09  7.155011182e-01  6.927230528e-01 
 5.900000000e-09  7.688712799e-01  7.482395498e-01 
 7.900000000e-09  8.153278328e-01  7.976954178e-01 
 9.900000000e-09  8.529687558e-01  8.390569707e-01 
 1.190000000e-08  8.802531229e-01  8.706385808e-01 
 1.390000000e-08  8.960638878e-01  8.911475322e-01 
 1.590000000e-08  8.997537717e-01  8.997360366e-01 
 1.790000000e-08  8.911716640e-01  8.960550946e-01 
 1.990000000e-08  8.706690160e-01  8.802515247e-01 
 2.190000000e-08  8.390850895e-01  8.529719038e-01 
 2.390000000e-08  7.977130532e-01  8.153299714e-01 
 2.590000000e-08  7.482466494e-01  7.688628014e-01 
 2.790000000e-08  6.927109984e-01  7.154788315e-01 
 2.990000000e-08  6.333797901e-01  6.573652419e-01 
 3.190000000e-08  5.726820287e-01  5.968974704e-01 
 3.390000000e-08  5.131026310e-01  5.365564711e-01 
 3.590000000e-08  4.570808417e-01  4.788157383e-01 
 3.790000000e-08  4.069101436e-01  4.260415603e-01 
 3.990000000e-08  3.646445484e-01  3.803921245e-01 
 4.190000000e-08  3.320143911e-01  3.437408299e-01 
 4.390000000e-08  3.103556028e-01  3.175820586e-01 
 4.590000000e-08  3.005548641e-01  3.029895689e-01 
 4.790000000e-08  3.030134404e-01  3.005583963e-01 
 4.990000000e-08  3.176306818e-01  3.103862160e-01 
 5.190000000e-08  3.438081845e-01  3.320659661e-01 
 5.390000000e-08  3.804742074e-01  3.647127180e-01 
 5.590000000e-08  4.261277046e-01  4.069886621e-01 
 5.790000000e-08  4.788995529e-01  4.571560821e-01 
 5.990000000e-08  5.366292845e-01  5.131688590e-01 
 6.190000000e-08  5.969534375e-01  5.727332687e-01 
 6.390000000e-08  6.574023056e-01  6.334116395e-01 
 6.590000000e-08  7.155011191e-01  6.927214553e-01 
 6.790000000e-08  7.688712807e-01  7.482421669e-01 
 6.990000000e-08  8.153278157e-01  7.976928467e-01 
 7.190000000e-08  8.529687553e-01  8.390572295e-01 
 1.900000000e-09  7.126835361e-01  6.664207834e-01 
 3.900000000e-09  8.131955076e-01  7.763226090e-01 
 5.900000000e-09  8.791516468e-01  8.577069141e-01 
 7.900000000e-09  8.998616754e-01  8.973557942e-01 
 9.900000000e-09  8.719687296e-01  8.888249617e-01 
 1.190000000e-08  7.999939946e-01  8.334616312e-01 
 1.390000000e-08  6.956035025e-01  7.402147604e-01 
 1.590000000e-08  5.757173665e-01  6.242003650e-01 
 1.790000000e-08  4.597670083e-01  5.042529615e-01 
 1.990000000e-08  3.665461562e-01  3.998549153e-01 
 2.190000000e-08  3.111642843e-01  3.279318211e-01 
 2.390000000e-08  3.025980775e-01  3.001385924e-01 
 2.590000000e-08  3.422361344e-01  3.209524992e-01 
 2.790000000e-08  4.236538087e-01  3.869718728e-01 
 2.990000000e-08  5.336546724e-01  4.874766603e-01 
 3.190000000e-08  6.544091268e-01  6.061897027e-01 
 3.390000000e-08  7.663446878e-01  7.239029994e-01 
 3.590000000e-08  8.513181316e-01  8.215452534e-01 
 3.790000000e-08  8.955567223e-01  8.833286790e-01 
 3.990000000e-08  8.918900896e-01  8.992179317e-01 
 4.190000000e-08  8.409127465e-01  8.666028963e-01 
 4.390000000e-08  7.508873812e-01  7.907458517e-01 
 4.590000000e-08  6.364056493e-01  6.839278858e-01 
 4.790000000e-08  5.160231979e-01  5.634800962e-01 
 4.990000000e-08  4.092519929e-01  4.489582946e-01 
 5.190000000e-08  3.333978769e-01  3.589555916e-01 
 5.390000000e-08  3.007556508e-01  3.080550464e-01 
 5.590000000e-08  3.166161002e-01  3.044994200e-01 
 5.790000000e-08  3.784089537e-01  3.488228326e-01 
 5.990000000e-08  4.761183726e-01  4.338268935e-01 
 6.190000000e-08  5.939071880e-01  5.457190142e-01 
 6.390000000e-08  7.126835428e-01  6.663985823e-01 
 6.590000000e-08  8.131955828e-01  7.763283508e-01 
 6.790000000e-08  8.791516460e-01  8.577048998e-01 
 6.990000000e-08  8.998616558e-01  8.973588215e-01 
 7.190000000e-08  8.719687303e-01  8.888281756e-01 
 1.900000000e-09  7.638008687e-01  6.985738154e-01 
 3.900000000e-09  8.780213324e-01  8.426273095e-01 
 5.900000000e-09  8.925785262e-01  8.998738770e-01 
 7.900000000e-09  8.022541453e-01  8.496435448e-01 
 9.900000000e-09  6.394277339e-01  7.098067480e-01 
 1.190000000e-08  4.624677171e-01  5.305142848e-01 
 1.390000000e-08  3.348087328e-01  3.761736815e-01 
 1.590000000e-08  3.022134722e-01  3.021980906e-01 
 1.790000000e-08  3.763665543e-01  3.350180287e-01 
 1.990000000e-08  5.306869056e-01  4.627353365e-01 
 2.190000000e-08  7.098543834e-01  6.395501413e-01 
 2.390000000e-08  8.496416946e-01  8.021996937e-01 
 2.590000000e-08  8.999384966e-01  8.924914184e-01 
 2.790000000e-08  8.427156934e-01  8.780093246e-01 
 2.990000000e-08  6.984861021e-01  7.637858827e-01 
 3.190000000e-08  5.189524276e-01  5.907183231e-01 
 3.390000000e-08  3.684718904e-01  4.209893610e-01 
 3.590000000e-08  3.009872464e-01  3.155398214e-01 
 3.790000000e-08  3.406907384e-01  3.121471005e-01 
 3.990000000e-08  4.733499168e-01  4.118888407e-01 
 4.190000000e-08  6.514103184e-01  5.789495592e-01 
 4.390000000e-08  8.110411915e-01  7.535066051e-01 
 4.590000000e-08  8.950189158e-01  8.731468114e-01 
 4.790000000e-08  8.732401421e-01  8.949810409e-01 
 4.990000000e-08  7.535126130e-01  8.110430232e-01 
 5.190000000e-08  5.787552089e-01  6.513151342e-01 
 5.390000000e-08  4.116135583e-01  4.731462374e-01 
 5.590000000e-08  3.120026123e-01  3.405377152e-01 
 5.790000000e-08  3.156307987e-01  3.010529884e-01 
 5.990000000e-08  4.211982293e-01  3.687246902e-01 
 6.190000000e-08  5.908615655e-01  5.191898006e-01 
 6.390000000e-08  7.638008690e-01  6.985474531e-01 
 6.590000000e-08  8.780213166e-01  8.426305602e-01 
 6.790000000e-08  8.925786067e-01  8.998735420e-01 
 6.990000000e-08  8.022541766e-01  8.496418915e-01 
 7.190000000e-08  6.394277754e-01  7.098064046e-01 
 1.900000000e-09  8.088653176e-01  7.294758371e-01 
 3.900000000e-09  8.999842047e-01  8.851853325e-01 
 5.900000000e-09  8.044934013e-01  8.637326709e-01 
 7.900000000e-09  5.817952344e-01  6.780222027e-01 
 9.900000000e-09  3.704214970e-01  4.436116472e-01 
 1.190000000e-08  3.018596623e-01  3.067183386e-01 
 1.390000000e-08  4.187611037e-01  3.523991173e-01 
 1.590000000e-08  6.484062293e-01  5.518904790e-01 
 1.790000000e-08  8.479390048e-01  7.811897051e-01 
 1.990000000e-08  8.932364590e-01  8.980193051e-01 
 2.190000000e-08  7.561218388e-01  8.295713313e-01 
 2.390000000e-08  5.218898755e-01  6.180614388e-01 
 2.590000000e-08  3.362473970e-01  3.952521777e-01 
