 time            v(vop,vom)     
 3.25000000e-08 -8.65691756e-02 
 3.45000000e-08 -3.70713208e-01 
 3.65000000e-08 -3.28984033e-01 
 3.85000000e-08  8.85324771e-03 
 4.05000000e-08  3.35404035e-01 
 4.25000000e-08  3.66959577e-01 
 4.45000000e-08  6.94752177e-02 
 4.65000000e-08 -2.87443827e-01 
 4.85000000e-08 -3.90493471e-01 
 5.05000000e-08 -1.45376568e-01 
 5.25000000e-08  2.28513680e-01 
 5.45000000e-08  3.98863802e-01 
 5.65000000e-08  2.15823753e-01 
 5.85000000e-08 -1.60708924e-01 
 6.05000000e-08 -3.92135910e-01 
 6.25000000e-08 -2.77906168e-01 
 6.45000000e-08  8.65664200e-02 
 6.65000000e-08  3.70708959e-01 
 6.85000000e-08  3.28982770e-01 
 7.02000000e-08  6.08929346e-02 
 2.50000000e-09  3.94484669e-01 
 4.50000000e-09  2.00935968e-01 
 6.50000000e-09 -2.42251509e-01 
 8.50000000e-09 -3.86363189e-01 
 1.05000000e-08 -5.21762692e-02 
 1.25000000e-08  3.43991120e-01 
 1.45000000e-08  3.18784134e-01 
 1.65000000e-08 -1.03435694e-01 
 1.85000000e-08 -3.94477726e-01 
 2.05000000e-08 -2.00936824e-01 
 2.25000000e-08  2.42250279e-01 
 2.45000000e-08  3.86349432e-01 
 2.65000000e-08  5.21759500e-02 
 2.85000000e-08 -3.44006153e-01 
 3.05000000e-08 -3.18784621e-01 
 3.25000000e-08  1.03435420e-01 
 3.45000000e-08  3.94482534e-01 
 3.65000000e-08  2.00932274e-01 
 3.85000000e-08 -2.42254316e-01 
 4.05000000e-08 -3.86362108e-01 
 4.25000000e-08 -5.21771790e-02 
 4.45000000e-08  3.43987514e-01 
 4.65000000e-08  3.18784714e-01 
 4.85000000e-08 -1.03436241e-01 
 5.05000000e-08 -3.94487594e-01 
 5.25000000e-08 -2.00937134e-01 
 5.45000000e-08  2.42254403e-01 
 5.65000000e-08  3.86349691e-01 
 5.85000000e-08  5.21767534e-02 
 6.05000000e-08 -3.44002201e-01 
 6.25000000e-08 -3.18784718e-01 
 6.45000000e-08  1.03436307e-01 
 6.65000000e-08  3.94463649e-01 
 6.85000000e-08  2.00934829e-01 
 7.02000000e-08 -1.69343505e-01 
 2.50000000e-09  3.96294917e-01 
 4.50000000e-09  3.47756153e-02 
 6.50000000e-09 -3.81073340e-01 
 8.50000000e-09 -1.85618297e-01 
 1.05000000e-08  3.09586357e-01 
 1.25000000e-08  3.07949951e-01 
 1.45000000e-08 -1.91560400e-01 
 1.65000000e-08 -3.81469876e-01 
 1.85000000e-08  4.36710726e-02 
 2.05000000e-08  3.96097782e-01 
 2.25000000e-08  1.12239273e-01 
 2.45000000e-08 -3.51913122e-01 
 2.65000000e-08 -2.51818929e-01 
 2.85000000e-08  2.55504577e-01 
 3.05000000e-08  3.51781790e-01 
 3.25000000e-08 -1.20071387e-01 
 3.45000000e-08 -3.96294396e-01 
 3.65000000e-08 -3.47757187e-02 
 3.85000000e-08  3.81072854e-01 
 4.05000000e-08  1.85613919e-01 
 4.25000000e-08 -3.09567368e-01 
 4.45000000e-08 -3.07872696e-01 
 4.65000000e-08  1.91561310e-01 
 4.85000000e-08  3.81477244e-01 
 5.05000000e-08 -4.36755027e-02 
 5.25000000e-08 -3.96097440e-01 
 5.45000000e-08 -1.12239271e-01 
 5.65000000e-08  3.51913002e-01 
 5.85000000e-08  2.51818946e-01 
 6.05000000e-08 -2.55487230e-01 
 6.25000000e-08 -3.51780949e-01 
 6.45000000e-08  1.20072942e-01 
 6.65000000e-08  3.96299212e-01 
 6.85000000e-08  3.47756800e-02 
 7.02000000e-08 -3.31049563e-01 
 2.50000000e-09  3.75910195e-01 
 4.50000000e-09 -1.36440389e-01 
 6.50000000e-09 -3.75921734e-01 
 8.50000000e-09  1.36440979e-01 
 1.05000000e-08  3.75896859e-01 
 1.25000000e-08 -1.36443522e-01 
 1.45000000e-08 -3.75886089e-01 
 1.65000000e-08  1.36444850e-01 
 1.85000000e-08  3.75872296e-01 
 2.05000000e-08 -1.36442059e-01 
 2.25000000e-08 -3.75872408e-01 
 2.45000000e-08  1.36435466e-01 
 2.65000000e-08  3.75876877e-01 
 2.85000000e-08 -1.36442493e-01 
 3.05000000e-08 -3.75876907e-01 
 3.25000000e-08  1.36435369e-01 
 3.45000000e-08  3.75875181e-01 
 3.65000000e-08 -1.36451119e-01 
 3.85000000e-08 -3.75877599e-01 
 4.05000000e-08  1.36435878e-01 
 4.25000000e-08  3.75874428e-01 
 4.45000000e-08 -1.36453637e-01 
 4.65000000e-08 -3.75877423e-01 
 4.85000000e-08  1.36442264e-01 
 5.05000000e-08  3.75891463e-01 
 5.25000000e-08 -1.36446402e-01 
 5.45000000e-08 -3.75890904e-01 
 5.65000000e-08  1.36435480e-01 
 5.85000000e-08  3.75876961e-01 
 6.05000000e-08 -1.36434935e-01 
 6.25000000e-08 -3.75879723e-01 
 6.45000000e-08  1.36443981e-01 
 6.65000000e-08  3.75887514e-01 
 6.85000000e-08 -1.36443122e-01 
 7.02000000e-08 -3.82354405e-01 
 2.50000000e-09  3.33803953e-01 
 4.50000000e-09 -2.80353902e-01 
 6.50000000e-09 -2.23611706e-01 
 8.50000000e-09  3.65750690e-01 
 1.05000000e-08  7.81660712e-02 
 1.25000000e-08 -3.97127029e-01 
 1.45000000e-08  7.80567963e-02 
 1.65000000e-08  3.69625888e-01 
 1.85000000e-08 -2.20776800e-01 
 2.05000000e-08 -2.84500919e-01 
 2.25000000e-08  3.29234023e-01 
 2.45000000e-08  1.53836211e-01 
 2.65000000e-08 -3.88644238e-01 
 2.85000000e-08  1.77988399e-04 
 3.05000000e-08  3.90862456e-01 
 3.25000000e-08 -1.52503510e-01 
 3.45000000e-08 -3.33824695e-01 
 3.65000000e-08  2.80381809e-01 
 3.85000000e-08  2.23614925e-01 
 4.05000000e-08 -3.65747462e-01 
 4.25000000e-08 -7.81644984e-02 
 4.45000000e-08  3.97126521e-01 
 4.65000000e-08 -7.80565336e-02 
 4.85000000e-08 -3.69595520e-01 
 5.05000000e-08  2.20776527e-01 
 5.25000000e-08  2.84513067e-01 
 5.45000000e-08 -3.29222483e-01 
 5.65000000e-08 -1.53836146e-01 
 5.85000000e-08  3.88644543e-01 
 6.05000000e-08 -1.76740703e-04 
 6.25000000e-08 -3.90849245e-01 
 6.45000000e-08  1.52493409e-01 
 6.65000000e-08  3.33813560e-01 
 6.85000000e-08 -2.80354626e-01 
 7.02000000e-08 -3.07437596e-01 
 2.50000000e-09  2.71885960e-01 
 4.50000000e-09 -3.71624821e-01 
 6.50000000e-09  1.76495357e-02 
 8.50000000e-09  3.62624212e-01 
 1.05000000e-08 -2.91963191e-01 
 1.25000000e-08 -1.37445122e-01 
 1.45000000e-08  3.96589022e-01 
 1.65000000e-08 -1.68245453e-01 
 1.85000000e-08 -2.71892957e-01 
 2.05000000e-08  3.71580426e-01 
 2.25000000e-08 -1.76455065e-02 
 2.45000000e-08 -3.62635446e-01 
 2.65000000e-08  2.91953723e-01 
 2.85000000e-08  1.37446276e-01 
 3.05000000e-08 -3.96591547e-01 
 3.25000000e-08  1.68239821e-01 
 3.45000000e-08  2.71886270e-01 
 3.65000000e-08 -3.71623233e-01 
 3.85000000e-08  1.76537919e-02 
 4.05000000e-08  3.62619204e-01 
 4.25000000e-08 -2.91969047e-01 
 4.45000000e-08 -1.37449663e-01 
 4.65000000e-08  3.96597245e-01 
 4.85000000e-08 -1.68245495e-01 
 5.05000000e-08 -2.71884380e-01 
 5.25000000e-08  3.71581764e-01 
 5.45000000e-08 -1.76494771e-02 
 5.65000000e-08 -3.62631847e-01 
 5.85000000e-08  2.91929776e-01 
 6.05000000e-08  1.37447025e-01 
 6.25000000e-08 -3.96598092e-01 
 6.45000000e-08  1.68235806e-01 
 6.65000000e-08  2.71885654e-01 
 6.85000000e-08 -3.71593657e-01 
 7.02000000e-08 -1.17596997e-01 
 2.50000000e-09  1.93585033e-01 
 4.50000000e-09 -3.95342275e-01 
 6.50000000e-09  2.48092444e-01 
 8.50000000e-09  1.20770008e-01 
 1.05000000e-08 -3.82506373e-01 
 1.25000000e-08  3.02940643e-01 
 1.45000000e-08  4.34705195e-02 
 1.65000000e-08 -3.54995001e-01 
 1.85000000e-08  3.46342306e-01 
 2.05000000e-08 -3.50588555e-02 
 2.25000000e-08 -3.13273117e-01 
 2.45000000e-08  3.76777951e-01 
 2.65000000e-08 -1.11690221e-01 
 2.85000000e-08 -2.58744675e-01 
 3.05000000e-08  3.93310435e-01 
 3.25000000e-08 -1.83561975e-01 
 3.45000000e-08 -1.93613808e-01 
 3.65000000e-08  3.95345123e-01 
 3.85000000e-08 -2.48056420e-01 
 4.05000000e-08 -1.20768363e-01 
 4.25000000e-08  3.82502201e-01 
 4.45000000e-08 -3.02926464e-01 
 4.65000000e-08 -4.34705258e-02 
 4.85000000e-08  3.54962220e-01 
 5.05000000e-08 -3.46345144e-01 
 5.25000000e-08  3.50555864e-02 
 5.45000000e-08  3.13251129e-01 
 5.65000000e-08 -3.76808535e-01 
 5.85000000e-08  1.11702526e-01 
 6.05000000e-08  2.58736475e-01 
 6.25000000e-08 -3.93304110e-01 
 6.45000000e-08  1.83583154e-01 
 6.65000000e-08  1.93610927e-01 
 6.85000000e-08 -3.95311849e-01 
 7.02000000e-08  1.14384111e-01 
 2.50000000e-09  1.03856303e-01 
 4.50000000e-09 -3.46660975e-01 
 6.50000000e-09  3.81238693e-01 
 8.50000000e-09 -1.98492421e-01 
 1.05000000e-08 -1.03864194e-01 
 1.25000000e-08  3.46629400e-01 
 1.45000000e-08 -3.81239443e-01 
 1.65000000e-08  1.98491415e-01 
 1.85000000e-08  1.03863940e-01 
 2.05000000e-08 -3.46628889e-01 
 2.25000000e-08  3.81230228e-01 
 2.45000000e-08 -1.98506409e-01 
 2.65000000e-08 -1.03852881e-01 
 2.85000000e-08  3.46654085e-01 
 3.05000000e-08 -3.81235253e-01 
 3.25000000e-08  1.98498540e-01 
 3.45000000e-08  1.03863912e-01 
 3.65000000e-08 -3.46623013e-01 
 3.85000000e-08  3.81244565e-01 
 4.05000000e-08 -1.98516671e-01 
 4.25000000e-08 -1.03863248e-01 
 4.45000000e-08  3.46626351e-01 
 4.65000000e-08 -3.81226625e-01 
 4.85000000e-08  1.98515594e-01 
 5.05000000e-08  1.03873179e-01 
 5.25000000e-08 -3.46623542e-01 
 5.45000000e-08  3.81228055e-01 
 5.65000000e-08 -1.98512490e-01 
 5.85000000e-08 -1.03864650e-01 
 6.05000000e-08  3.46649910e-01 
 6.25000000e-08 -3.81293221e-01 
 6.45000000e-08  1.98490741e-01 
 6.65000000e-08  1.03863868e-01 
 6.85000000e-08 -3.46641105e-01 
 7.02000000e-08  2.90749806e-01 
 2.50000000e-09  8.48852791e-03 
 4.50000000e-09 -2.30886617e-01 
 6.50000000e-09  3.71386518e-01 
 8.50000000e-09 -3.85021785e-01 
 1.05000000e-08  2.73290480e-01 
 1.25000000e-08 -6.95331450e-02 
 1.45000000e-08 -1.61994473e-01 
 1.65000000e-08  3.37639844e-01 
 1.85000000e-08 -3.95180833e-01 
 2.05000000e-08  3.23135257e-01 
 2.25000000e-08 -1.44301079e-01 
 2.45000000e-08 -8.67620026e-02 
 2.65000000e-08  2.90248024e-01 
 2.85000000e-08 -3.90718841e-01 
 3.05000000e-08  3.60727631e-01 
