 time            v(vop)         
 3.35000000e-08  2.04192978e-01 
 3.55000000e-08  1.00377855e-01 
 3.75000000e-08  1.72484094e-01 
 3.95000000e-08  3.56062011e-01 
 4.15000000e-08  4.88267220e-01 
 4.35000000e-08  4.51734251e-01 
 4.55000000e-08  2.78441323e-01 
 4.75000000e-08  1.22742876e-01 
 4.95000000e-08  1.23156846e-01 
 5.15000000e-08  2.78971443e-01 
 5.35000000e-08  4.51818759e-01 
 5.55000000e-08  4.88299178e-01 
 5.75000000e-08  3.55625559e-01 
 5.95000000e-08  1.71786240e-01 
 6.15000000e-08  1.00488572e-01 
 6.35000000e-08  2.04921087e-01 
 6.55000000e-08  3.92035484e-01 
 6.75000000e-08  4.95876600e-01 
 6.95000000e-08  4.24127713e-01 
 7.15000000e-08  2.40238795e-01 
 7.35000000e-08  1.07867294e-01 
 3.50000000e-09  4.92977226e-01 
 5.50000000e-09  3.36685882e-01 
 7.50000000e-09  1.32649885e-01 
 9.50000000e-09  1.33311325e-01 
 1.15000000e-08  3.37265773e-01 
 1.35000000e-08  4.92970298e-01 
 1.55000000e-08  4.08387930e-01 
 1.75000000e-08  1.87352903e-01 
 1.95000000e-08  1.03479927e-01 
 2.15000000e-08  2.59904438e-01 
 2.35000000e-08  4.63388073e-01 
 2.55000000e-08  4.63294594e-01 
 2.75000000e-08  2.59024771e-01 
 2.95000000e-08  1.03223088e-01 
 3.15000000e-08  1.88246709e-01 
 3.35000000e-08  4.08701747e-01 
 3.55000000e-08  4.92985025e-01 
 3.75000000e-08  3.36638181e-01 
 3.95000000e-08  1.32714063e-01 
 4.15000000e-08  1.33311541e-01 
 4.35000000e-08  3.37265789e-01 
 4.55000000e-08  4.92970286e-01 
 4.75000000e-08  4.08388700e-01 
 4.95000000e-08  1.87352874e-01 
 5.15000000e-08  1.03479926e-01 
 5.35000000e-08  2.59858717e-01 
 5.55000000e-08  4.63403069e-01 
 5.75000000e-08  4.63297076e-01 
 5.95000000e-08  2.59071714e-01 
 6.15000000e-08  1.03214770e-01 
 6.35000000e-08  1.88303251e-01 
 6.55000000e-08  4.08700828e-01 
 6.75000000e-08  4.92990403e-01 
 6.95000000e-08  3.36638181e-01 
 7.15000000e-08  1.32650097e-01 
 7.35000000e-08  1.33335967e-01 
 3.50000000e-09  4.73269900e-01 
 5.50000000e-09  2.40119454e-01 
 7.50000000e-09  1.00613959e-01 
 9.50000000e-09  2.79272414e-01 
 1.15000000e-08  4.88187411e-01 
 1.35000000e-08  3.91600479e-01 
 1.55000000e-08  1.44241092e-01 
 1.75000000e-08  1.45117864e-01 
 1.95000000e-08  3.92078859e-01 
 2.15000000e-08  4.88151716e-01 
 2.35000000e-08  2.78403427e-01 
 2.55000000e-08  1.00462228e-01 
 2.75000000e-08  2.40989166e-01 
 2.95000000e-08  4.73258175e-01 
 3.15000000e-08  4.24055149e-01 
 3.35000000e-08  1.71800568e-01 
 3.55000000e-08  1.23373279e-01 
 3.75000000e-08  3.56124167e-01 
 3.95000000e-08  4.95779227e-01 
 4.15000000e-08  3.17400956e-01 
 4.35000000e-08  1.07915212e-01 
 4.55000000e-08  2.05087547e-01 
 4.75000000e-08  4.51787918e-01 
 4.95000000e-08  4.51578074e-01 
 5.15000000e-08  2.04104929e-01 
 5.35000000e-08  1.08370608e-01 
 5.55000000e-08  3.18043034e-01 
 5.75000000e-08  4.95765664e-01 
 5.95000000e-08  3.55593802e-01 
 6.15000000e-08  1.22748211e-01 
 6.35000000e-08  1.72645397e-01 
 6.55000000e-08  4.24294757e-01 
 6.75000000e-08  4.73273589e-01 
 6.95000000e-08  2.40190462e-01 
 7.15000000e-08  1.00611674e-01 
 7.35000000e-08  2.79292911e-01 
 3.50000000e-09  4.38400363e-01 
 5.50000000e-09  1.57412275e-01 
 7.50000000e-09  1.58408172e-01 
 9.50000000e-09  4.38699688e-01 
 1.15000000e-08  4.38391535e-01 
 1.35000000e-08  1.57313783e-01 
 1.55000000e-08  1.58321815e-01 
 1.75000000e-08  4.38723873e-01 
 1.95000000e-08  4.38393029e-01 
 2.15000000e-08  1.57412506e-01 
 2.35000000e-08  1.58408558e-01 
 2.55000000e-08  4.38699887e-01 
 2.75000000e-08  4.38398811e-01 
 2.95000000e-08  1.57412964e-01 
 3.15000000e-08  1.58326496e-01 
 3.35000000e-08  4.38677107e-01 
 3.55000000e-08  4.38391561e-01 
 3.75000000e-08  1.57413096e-01 
 3.95000000e-08  1.58420490e-01 
 4.15000000e-08  4.38705698e-01 
 4.35000000e-08  4.38392984e-01 
 4.55000000e-08  1.57413596e-01 
 4.75000000e-08  1.58407547e-01 
 4.95000000e-08  4.38694917e-01 
 5.15000000e-08  4.38393481e-01 
 5.35000000e-08  1.57412428e-01 
 5.55000000e-08  1.58407791e-01 
 5.75000000e-08  4.38694678e-01 
 5.95000000e-08  4.38393430e-01 
 6.15000000e-08  1.57412490e-01 
 6.35000000e-08  1.58409047e-01 
 6.55000000e-08  4.38699329e-01 
 6.75000000e-08  4.38399078e-01 
 6.95000000e-08  1.57320709e-01 
 7.15000000e-08  1.58407559e-01 
 7.35000000e-08  4.38715229e-01 
 3.50000000e-09  3.91554755e-01 
 5.50000000e-09  1.08001340e-01 
 7.50000000e-09  2.79292665e-01 
 9.50000000e-09  4.95603535e-01 
 1.15000000e-08  2.40166069e-01 
 1.35000000e-08  1.23545261e-01 
 1.55000000e-08  4.24318765e-01 
 1.75000000e-08  4.23867635e-01 
 1.95000000e-08  1.22823166e-01 
 2.15000000e-08  2.41177745e-01 
 2.35000000e-08  4.95592170e-01 
 2.55000000e-08  2.78225739e-01 
 2.75000000e-08  1.08581631e-01 
 2.95000000e-08  3.92132658e-01 
 3.15000000e-08  4.51464510e-01 
 3.35000000e-08  1.44275654e-01 
 3.55000000e-08  2.05255831e-01 
 3.75000000e-08  4.88006646e-01 
 3.95000000e-08  3.17315286e-01 
 4.15000000e-08  1.00777562e-01 
 4.35000000e-08  3.56222505e-01 
 4.55000000e-08  4.73133938e-01 
 4.75000000e-08  1.71682229e-01 
 4.95000000e-08  1.72897723e-01 
 5.15000000e-08  4.73105477e-01 
 5.35000000e-08  3.55471029e-01 
 5.55000000e-08  1.00596126e-01 
 5.75000000e-08  3.18188192e-01 
 5.95000000e-08  4.88013763e-01 
 6.15000000e-08  2.04168470e-01 
 6.35000000e-08  1.45296976e-01 
 6.55000000e-08  4.51700098e-01 
 6.75000000e-08  3.91443261e-01 
 6.95000000e-08  1.08001454e-01 
 7.15000000e-08  2.79363641e-01 
 7.35000000e-08  4.95605533e-01 
 3.50000000e-09  3.36452426e-01 
 5.50000000e-09  1.03844755e-01 
 7.50000000e-09  4.08730279e-01 
 9.50000000e-09  4.08165380e-01 
 1.15000000e-08  1.03411715e-01 
 1.35000000e-08  3.37452108e-01 
 1.55000000e-08  4.62956105e-01 
 1.75000000e-08  1.32783729e-01 
 1.95000000e-08  2.60297798e-01 
 2.15000000e-08  4.92646440e-01 
 2.35000000e-08  1.87371875e-01 
 2.55000000e-08  1.88791245e-01 
 2.75000000e-08  4.92658519e-01 
 2.95000000e-08  2.59011043e-01 
 3.15000000e-08  1.33869113e-01 
 3.35000000e-08  4.63199799e-01 
 3.55000000e-08  3.36449724e-01 
 3.75000000e-08  1.03847248e-01 
 3.95000000e-08  4.08698928e-01 
 4.15000000e-08  4.08159345e-01 
 4.35000000e-08  1.03411939e-01 
 4.55000000e-08  3.37472485e-01 
 4.75000000e-08  4.62980404e-01 
 4.95000000e-08  1.32783888e-01 
 5.15000000e-08  2.60292697e-01 
 5.35000000e-08  4.92627864e-01 
 5.55000000e-08  1.87356905e-01 
 5.75000000e-08  1.88851841e-01 
 5.95000000e-08  4.92662340e-01 
 6.15000000e-08  2.59011746e-01 
 6.35000000e-08  1.33914426e-01 
 6.55000000e-08  4.63203526e-01 
 6.75000000e-08  3.36449721e-01 
 6.95000000e-08  1.03847229e-01 
 7.15000000e-08  4.08697362e-01 
 7.35000000e-08  4.08236286e-01 
 3.50000000e-09  2.78363323e-01 
 5.50000000e-09  1.45568217e-01 
 7.50000000e-09  4.87862522e-01 
 9.50000000e-09  2.40222363e-01 
 1.15000000e-08  1.73159085e-01 
 1.35000000e-08  4.95377308e-01 
 1.55000000e-08  2.04162140e-01 
 1.75000000e-08  2.05565258e-01 
 1.95000000e-08  4.95355390e-01 
 2.15000000e-08  1.71703457e-01 
 2.35000000e-08  2.41375341e-01 
 2.55000000e-08  4.87776711e-01 
 2.75000000e-08  1.44278834e-01 
 2.95000000e-08  2.79480136e-01 
 3.15000000e-08  4.72953272e-01 
 3.35000000e-08  1.22802827e-01 
 3.55000000e-08  3.18414507e-01 
 3.75000000e-08  4.51302730e-01 
 3.95000000e-08  1.08094671e-01 
 4.15000000e-08  3.56343075e-01 
 4.35000000e-08  4.23735234e-01 
 4.55000000e-08  1.00741541e-01 
 4.75000000e-08  3.92172968e-01 
 4.95000000e-08  3.91371767e-01 
 5.15000000e-08  1.00983444e-01 
 5.35000000e-08  4.24264556e-01 
 5.55000000e-08  3.55386708e-01 
 5.75000000e-08  1.08815180e-01 
 5.95000000e-08  4.51599145e-01 
 6.15000000e-08  3.17204439e-01 
 6.35000000e-08  1.23793673e-01 
 6.55000000e-08  4.73015224e-01 
 6.75000000e-08  2.78257924e-01 
 6.95000000e-08  1.45577103e-01 
 7.15000000e-08  4.87874184e-01 
 7.35000000e-08  2.40224969e-01 
 3.50000000e-09  2.21582243e-01 
 5.50000000e-09  2.23375600e-01 
 7.50000000e-09  4.81174439e-01 
 9.50000000e-09  1.14610833e-01 
 1.15000000e-08  3.74732319e-01 
 1.35000000e-08  3.73662737e-01 
 1.55000000e-08  1.15648656e-01 
 1.75000000e-08  4.81190844e-01 
 1.95000000e-08  2.21651165e-01 
 2.15000000e-08  2.23418644e-01 
 2.35000000e-08  4.81175224e-01 
 2.55000000e-08  1.14627015e-01 
 2.75000000e-08  3.74734803e-01 
 2.95000000e-08  3.73630584e-01 
 3.15000000e-08  1.15650856e-01 
 3.35000000e-08  4.81219697e-01 
 3.55000000e-08  2.21603672e-01 
 3.75000000e-08  2.23403674e-01 
