 time            v(vop,vom)     
 1.62500000e-06 -4.82235639e-02 
 1.72500000e-06 -1.88162159e-01 
 1.82500000e-06 -1.60769786e-01 
 1.92500000e-06  9.44573072e-03 
 2.02500000e-06  1.71184255e-01 
 2.12500000e-06  1.80794491e-01 
 2.22500000e-06  2.96837752e-02 
 2.32500000e-06 -1.47814630e-01 
 2.42500000e-06 -1.94005859e-01 
 2.52500000e-06 -6.76994278e-02 
 2.62500000e-06  1.18780660e-01 
 2.72500000e-06  1.99291344e-01 
 2.82500000e-06  1.03035667e-01 
 2.92500000e-06 -8.51589764e-02 
 3.02500000e-06 -1.97418293e-01 
 3.12500000e-06 -1.34453442e-01 
 3.22500000e-06  4.82065474e-02 
 3.32500000e-06  1.87951378e-01 
 3.42500000e-06  1.60860885e-01 
 3.50000000e-06  1.27713001e-01 
 1.25000000e-07  1.98622252e-01 
 2.25000000e-07  9.46106812e-02 
 3.25000000e-07 -1.26429223e-01 
 4.25000000e-07 -1.91277654e-01 
 5.25000000e-07 -2.00142899e-02 
 6.25000000e-07  1.76058485e-01 
 7.25000000e-07  1.54877268e-01 
 8.25000000e-07 -5.76201559e-02 
 9.25000000e-07 -1.98854175e-01 
 1.02500000e-06 -9.45835605e-02 
 1.12500000e-06  1.26468967e-01 
 1.22500000e-06  1.91362734e-01 
 1.32500000e-06  2.00155646e-02 
 1.42500000e-06 -1.76152441e-01 
 1.52500000e-06 -1.54745290e-01 
 1.62500000e-06  5.76209653e-02 
 1.72500000e-06  1.98795967e-01 
 1.82500000e-06  9.45843186e-02 
 1.92500000e-06 -1.26494843e-01 
 2.02500000e-06 -1.91259752e-01 
 2.12500000e-06 -2.00155204e-02 
 2.22500000e-06  1.76082953e-01 
 2.32500000e-06  1.54742452e-01 
 2.42500000e-06 -5.76396985e-02 
 2.52500000e-06 -1.98666462e-01 
 2.62500000e-06 -9.45785436e-02 
 2.72500000e-06  1.26439997e-01 
 2.82500000e-06  1.91460715e-01 
 2.92500000e-06  2.00143968e-02 
 3.02500000e-06 -1.76067725e-01 
 3.12500000e-06 -1.54766003e-01 
 3.22500000e-06  5.76102998e-02 
 3.32500000e-06  1.98803496e-01 
 3.42500000e-06  9.46124419e-02 
 3.50000000e-06  3.93927267e-02 
 1.25000000e-07  1.97448740e-01 
 2.25000000e-07  1.03144642e-02 
 3.25000000e-07 -1.93797346e-01 
 4.25000000e-07 -8.59181630e-02 
 5.25000000e-07  1.60188284e-01 
 6.25000000e-07  1.48377360e-01 
 7.25000000e-07 -1.02314197e-01 
 8.25000000e-07 -1.88477162e-01 
 9.25000000e-07  2.88265803e-02 
 1.02500000e-06  1.99363091e-01 
 1.12500000e-06  4.90447169e-02 
 1.22500000e-06 -1.80506044e-01 
 1.32500000e-06 -1.19506688e-01 
 1.42500000e-06  1.33868169e-01 
 1.52500000e-06  1.71815700e-01 
 1.62500000e-06 -6.68493268e-02 
 1.72500000e-06 -1.97466162e-01 
 1.82500000e-06 -1.03087871e-02 
 1.92500000e-06  1.93819812e-01 
 2.02500000e-06  8.59020581e-02 
