 time            v(vop)         
 2.55000000e-08  2.38617844e-01 
 2.75000000e-08  4.19387010e-01 
 2.95000000e-08  4.83689650e-01 
 3.15000000e-08  3.74190490e-01 
 3.35000000e-08  1.87874002e-01 
 3.55000000e-08  9.07906266e-02 
 3.75000000e-08  1.69252616e-01 
 3.95000000e-08  3.53051200e-01 
 4.15000000e-08  4.79158584e-01 
 4.35000000e-08  4.35701426e-01 
 4.55000000e-08  2.60778856e-01 
 4.75000000e-08  1.10079311e-01 
 4.95000000e-08  1.17897493e-01 
 5.15000000e-08  2.76828631e-01 
 5.35000000e-08  4.45601057e-01 
 5.55000000e-08  4.74661295e-01 
 5.75000000e-08  3.37816752e-01 
 5.95000000e-08  1.56542225e-01 
 6.15000000e-08  9.24238927e-02 
 6.35000000e-08  2.02296939e-01 
 6.55000000e-08  3.88137738e-01 
 6.75000000e-08  4.85211417e-01 
 6.95000000e-08  4.07236828e-01 
 7.15000000e-08  2.23078038e-01 
 7.35000000e-08  9.67555204e-02 
 7.55000000e-08  1.40752466e-01 
 3.50000000e-09  4.79048981e-01 
 5.50000000e-09  3.17040856e-01 
 7.50000000e-09  1.19013096e-01 
 9.50000000e-09  1.30124486e-01 
 1.15000000e-08  3.36011890e-01 
 1.35000000e-08  4.82718379e-01 
 1.55000000e-08  3.89432284e-01 
 1.75000000e-08  1.70642158e-01 
 1.95000000e-08  9.71270788e-02 
 2.15000000e-08  2.59415479e-01 
 2.35000000e-08  4.56829239e-01 
 2.55000000e-08  4.46324016e-01 
 2.75000000e-08  2.40200836e-01 
 2.95000000e-08  9.32052130e-02 
 3.15000000e-08  1.87130400e-01 
 3.35000000e-08  4.05310554e-01 
 3.55000000e-08  4.79049292e-01 
 3.75000000e-08  3.17044165e-01 
 3.95000000e-08  1.19012721e-01 
 4.15000000e-08  1.30124502e-01 
 4.35000000e-08  3.36011890e-01 
 4.55000000e-08  4.82718379e-01 
 4.75000000e-08  3.89432284e-01 
 4.95000000e-08  1.70642481e-01 
 5.15000000e-08  9.71270365e-02 
 5.35000000e-08  2.59415003e-01 
 5.55000000e-08  4.56826452e-01 
 5.75000000e-08  4.46313841e-01 
 5.95000000e-08  2.40203207e-01 
 6.15000000e-08  9.32051597e-02 
 6.35000000e-08  1.87129167e-01 
 6.55000000e-08  4.05310662e-01 
 6.75000000e-08  4.79051984e-01 
 6.95000000e-08  3.17040385e-01 
 7.15000000e-08  1.19012373e-01 
 7.35000000e-08  1.30124503e-01 
 7.55000000e-08  3.36011890e-01 
 3.50000000e-09  4.55477579e-01 
 5.50000000e-09  2.20270878e-01 
 7.50000000e-09  9.43238292e-02 
 9.50000000e-09  2.80458374e-01 
 1.15000000e-08  4.78627792e-01 
 1.35000000e-08  3.70496172e-01 
 1.55000000e-08  1.29283437e-01 
 1.75000000e-08  1.44184741e-01 
 1.95000000e-08  3.90424514e-01 
 2.15000000e-08  4.72156155e-01 
 2.35000000e-08  2.57548342e-01 
 2.55000000e-08  9.20043268e-02 
 2.75000000e-08  2.42428014e-01 
 2.95000000e-08  4.65989553e-01 
 3.15000000e-08  4.03648645e-01 
 3.35000000e-08  1.54869869e-01 
 3.55000000e-08  1.20934123e-01 
 3.75000000e-08  3.55899836e-01 
 3.95000000e-08  4.81773922e-01 
 4.15000000e-08  2.96003385e-01 
 4.35000000e-08  9.72320707e-02 
 4.55000000e-08  2.06130321e-01 
 4.75000000e-08  4.46537588e-01 
 4.95000000e-08  4.32340471e-01 
 5.15000000e-08  1.85588131e-01 
 5.35000000e-08  1.04091678e-01 
 5.55000000e-08  3.18771544e-01 
 5.75000000e-08  4.83950666e-01 
 5.95000000e-08  3.34138010e-01 
 6.15000000e-08  1.09822098e-01 
 6.35000000e-08  1.72946025e-01 
 6.55000000e-08  4.21026770e-01 
 6.75000000e-08  4.55475425e-01 
 6.95000000e-08  2.20270863e-01 
 7.15000000e-08  9.43238292e-02 
 7.35000000e-08  2.80458374e-01 
 7.55000000e-08  4.78627792e-01 
 3.50000000e-09  4.16720171e-01 
 5.50000000e-09  1.40762558e-01 
 7.50000000e-09  1.59895174e-01 
 9.50000000e-09  4.35081818e-01 
 1.15000000e-08  4.16715635e-01 
 1.35000000e-08  1.40762525e-01 
 1.55000000e-08  1.59895173e-01 
 1.75000000e-08  4.35081818e-01 
 1.95000000e-08  4.16715635e-01 
 2.15000000e-08  1.40762533e-01 
 2.35000000e-08  1.59895173e-01 
 2.55000000e-08  4.35081818e-01 
 2.75000000e-08  4.16715635e-01 
 2.95000000e-08  1.40762533e-01 
 3.15000000e-08  1.59895173e-01 
 3.35000000e-08  4.35081818e-01 
 3.55000000e-08  4.16715635e-01 
 3.75000000e-08  1.40762525e-01 
 3.95000000e-08  1.59895309e-01 
 4.15000000e-08  4.35082256e-01 
 4.35000000e-08  4.16715637e-01 
 4.55000000e-08  1.40762525e-01 
 4.75000000e-08  1.59895173e-01 
 4.95000000e-08  4.35081818e-01 
 5.15000000e-08  4.16715635e-01 
 5.35000000e-08  1.40767886e-01 
 5.55000000e-08  1.59894203e-01 
 5.75000000e-08  4.35081812e-01 
 5.95000000e-08  4.16715635e-01 
 6.15000000e-08  1.40760250e-01 
 6.35000000e-08  1.59895662e-01 
 6.55000000e-08  4.35082258e-01 
 6.75000000e-08  4.16715637e-01 
 6.95000000e-08  1.40762525e-01 
 7.15000000e-08  1.59895173e-01 
 7.35000000e-08  4.35081818e-01 
 7.55000000e-08  4.16715635e-01 
 3.50000000e-09  3.66440437e-01 
 5.50000000e-09  9.80566516e-02 
 7.50000000e-09  2.84299310e-01 
 9.50000000e-09  4.79436447e-01 
